# timestamps [seconds],pts
109715.632928,284679
109715.643971,285403
109715.648829,285721
109715.656876,286248
109715.674982,287435
109715.688710,288335
109715.693345,288638
109715.703155,289281
109715.710848,289786
109715.724406,290674
109715.727757,290894
109715.733504,291270
109715.743715,291939
109715.750309,292372
109715.758815,292929
109715.767016,293466
109715.772589,293832
109715.787053,294780
109715.793621,295210
109715.799866,295619
109715.805128,295964
109715.812647,296457
109715.820721,296986
109715.828727,297511
109715.840542,298285
109715.844488,298544
109715.852711,299082
109715.861442,299655
109715.868615,300125
109715.888182,301407
109715.893968,301786
109715.898610,302090
109715.901915,302307
109715.909056,302775
109715.916902,303289
109715.924549,303790
109715.935980,304540
109715.940949,304865
109715.948473,305358
109715.956885,305910
109715.964694,306421
109715.973197,306979
109715.981961,307553
109715.993632,308318
109715.998690,308649
109716.004627,309038
109716.012970,309585
109716.021107,310118
109716.029652,310678
109716.040029,311358
109716.047064,311819
109716.052641,312185
109716.060587,312706
109716.068993,313257
109716.076677,313760
109716.088593,314541
109716.092931,314825
109716.100847,315344
109716.118237,316484
109716.125552,316963
109716.133015,317452
109716.140653,317953
109716.148523,318469
109716.160965,319284
109716.168509,319778
109716.176606,320309
109716.184703,320840
109716.193048,321386
109716.200506,321875
109716.208812,322420
109716.216463,322921
109716.224934,323476
109716.233007,324005
109716.240687,324509
109716.250585,325157
109716.256640,325554
109716.264961,326099
109716.272536,326596
109716.280512,327118
109716.288910,327669
109716.296511,328167
109716.304604,328697
109716.312588,329221
109716.320573,329744
109716.328507,330264
109716.337301,330840
109716.344589,331318
109716.352557,331840
109716.360594,332367
109716.368683,332897
109716.376540,333412
109716.384575,333938
109716.408973,335537
109716.414948,335929
109716.420531,336295
109716.433526,337146
109716.440618,337611
109716.448756,338144
109716.456984,338684
109716.465569,339246
109716.474916,339859
109716.483903,340448
109716.490719,340894
109716.496747,341289
109716.504815,341818
109716.512782,342340
109716.521131,342887
109716.528523,343372
109716.536679,343906
109716.544476,344417
109716.554826,345096
109716.561267,345518
109716.570407,346117
109716.577049,346552
109716.586515,347172
109716.592500,347565
109716.600539,348091
109716.608770,348631
109716.616880,349162
109716.624524,349663
109716.632623,350194
109716.644564,350977
109716.652709,351510
109716.660576,352026
109716.672034,352777
109716.678204,353181
109716.686808,353745
109716.693269,354168
109716.700506,354643
109716.710541,355300
109716.717396,355750
109716.735833,356958
109716.743427,357456
109716.748965,357819
109716.756496,358312
109716.769168,359143
109716.772902,359387
109716.787563,360348
109716.791009,360574
109716.804170,361436
109716.807653,361665
109716.819383,362433
109716.826264,362884
109716.840400,363811
109716.845844,364167
109716.856425,364861
109716.861653,365204
109716.869341,365707
109716.877513,366243
109716.887467,366895
109716.895441,367418
109716.902120,367856
109716.908637,368283
109716.921015,369094
109716.926467,369451
109716.937797,370194
109716.942116,370477
109716.948509,370896
109716.956572,371424
109716.964468,371941
109716.973067,372505
109716.980488,372991
109716.988479,373515
109716.996506,374041
109717.005219,374612
109717.012474,375088
109717.020557,375617
109717.028516,376139
109717.036930,376690
109717.044901,377213
109717.052706,377724
109717.060517,378236
109717.070724,378905
109717.076744,379299
109717.088597,380076
109717.096537,380597
109717.104643,381128
109717.112521,381644
109717.120597,382173
109717.128798,382711
109717.137127,383257
109717.144562,383744
109717.152611,384271
109717.160534,384791
109717.168874,385337
109717.176995,385869
109717.185213,386408
109717.192554,386889
109717.200602,387417
109717.209385,387992
109717.216564,388463
109717.224479,388981
109717.232670,389518
109717.240554,390035
109717.248561,390560
109717.256892,391105
109717.264584,391610
109717.272776,392146
109717.280580,392658
109717.288771,393195
109717.296891,393727
109717.304916,394253
109717.315818,394967
109717.324289,395522
109717.329537,395866
109717.340498,396585
109717.348128,397085
109717.353108,397411
109717.360482,397894
109717.368838,398442
109717.376793,398963
109717.385031,399503
109717.395904,400216
109717.410384,401165
109717.422746,401975
109717.440382,403131
109717.449325,403717
109717.459672,404395
109717.465528,404778
109717.495970,406773
109717.511519,407792
109717.517381,408177
109717.527201,408820
109717.532320,409156
109717.539565,409630
109717.555444,410671
109717.561909,411095
109717.572592,411795
109717.580631,412322
109717.588553,412841
109717.597342,413417
109717.605662,413962
109717.612758,414427
109717.621011,414968
109717.628500,415459
109717.636617,415991
109717.648394,416763
109717.655378,417220
109717.660636,417565
109717.669782,418164
109717.676672,418616
109717.690937,419551
109717.695590,419856
109717.706749,420587
109717.713355,421020
109717.721465,421551
109717.726448,421878
109717.733288,422326
109717.744738,423076
109717.749352,423379
109717.757038,423883
109717.764607,424379
109717.773537,424964
109717.781852,425509
109717.788506,425945
109717.796647,426478
109717.804860,427017
109717.812572,427522
109717.820561,428046
109717.828833,428588
109717.837011,429124
109717.844659,429625
109717.852757,430156
109717.860479,430662
109717.870543,431321
109717.876809,431732
109717.887168,432411
109717.892587,432766
109717.900833,433306
109717.908632,433817
109717.916578,434338
109717.924946,434886
109717.932636,435390
109717.940548,435909
109717.948575,436435
109717.956585,436960
109717.964463,437476
109717.972488,438002
109717.980604,438534
109717.988843,439074
109717.996530,439578
109718.004569,440105
109718.012510,440625
109718.024613,441418
109718.032920,441962
109718.040870,442483
109718.048562,442988
109718.056650,443518
109718.064531,444034
109718.072737,444572
109718.081570,445151
109718.088965,445635
109718.099336,446315
109718.105816,446740
109718.120969,447733
109718.125863,448054
109718.138661,448892
109718.144538,449277
109718.152817,449820
109718.160483,450322
109718.169381,450905
109718.177074,451410
109718.184638,451905
109718.192501,452421
109718.200571,452950
109718.208627,453477
109718.216449,453990
109718.224553,454521
109718.232626,455050
109718.240923,455594
109718.248629,456099
109718.256606,456622
109718.264496,457139
109718.272618,457671
109718.280546,458191
109718.288586,458718
109718.296472,459234
109718.304868,459785
109718.312583,460290
109718.320756,460826
109718.328686,461346
109718.337032,461892
109718.344466,462380
109718.353087,462945
109718.361059,463467
109718.368517,463956
109718.377216,464526
109718.384508,465004
109718.392472,465526
109718.401010,466085
109718.408571,466581
109718.416475,467099
109718.424546,467628
109718.432780,468167
109718.440514,468674
109718.448620,469205
109718.457021,469756
109718.473704,470849
109718.488302,471806
109718.493046,472117
109718.503477,472800
109718.508736,473145
109718.516534,473656
109718.524617,474186
109718.533020,474737
109718.540765,475244
109718.548605,475758
109718.556582,476281
109718.564617,476807
109718.572588,477330
109718.580938,477877
109718.588750,478389
109718.596643,478906
109718.604627,479429
109718.612527,479947
109718.620633,480478
109718.628569,480998
109718.637162,481561
109718.644844,482065
109718.652519,482568
109718.660505,483091
109718.669867,483705
109718.676550,484143
109718.684524,484665
109718.694263,485304
109718.701313,485766
109718.709161,486280
109718.718398,486885
109718.724630,487294
109718.732781,487828
109718.744223,488578
109718.749148,488900
109718.756614,489390
109718.764478,489905
109718.772476,490429
109718.780571,490960
109718.788558,491483
109718.796470,492002
109718.804611,492535
109718.812709,493066
109718.820844,493599
109718.828839,494123
109718.836666,494636
109718.845110,495189
109718.853635,495748
109718.860780,496216
109718.869272,496773
109718.876515,497247
109718.884789,497790
109718.892565,498299
109718.900653,498829
109718.908706,499357
109718.916674,499879
109718.924506,500393
109718.933234,500965
109718.940796,501460
109718.948484,501964
109718.960714,502765
109718.968679,503287
109718.976563,503804
109718.984828,504346
109718.992502,504849
109719.000550,505376
109719.008541,505900
109719.016550,506425
109719.024530,506948
109719.032631,507479
109719.040495,507994
109719.048516,508520
109719.057931,509137
109719.064874,509592
109719.072573,510096
109719.080588,510621
109719.088606,511147
109719.096488,511663
109719.105319,512242
109719.112790,512732
109719.120861,513261
109719.128547,513764
109719.136665,514296
109719.144538,514812
109719.156569,515601
109719.164820,516142
109719.170069,516486
109719.176596,516913
109719.184576,517436
109719.192658,517966
109719.204043,518712
109719.208618,519012
109719.220903,519817
109719.224777,520071
109719.232729,520592
109719.241564,521171
109719.248484,521624
109719.256615,522157
109719.265294,522726
109719.272558,523202
109719.280541,523725
109719.288716,524261
109719.296511,524772
109719.304511,525296
109719.312989,525852
109719.320767,526362
109719.328526,526870
109719.336634,527401
109719.344548,527920
109719.353074,528479
109719.360485,528964
109719.368641,529499
109719.376464,530012
109719.384847,530561
109719.394790,531213
109719.400463,531584
109719.408573,532116
109719.416558,532639
109719.428490,533421
109719.436612,533953
109719.444754,534487
109719.454956,535156
109719.460637,535528
109719.468621,536051
109719.476747,536584
109719.484509,537092
109719.492564,537620
109719.500575,538145
109719.508567,538669
109719.516574,539194
109719.524538,539716
109719.532542,540240
109719.541126,540803
109719.548530,541288
109719.558031,541911
109719.566407,542460
109719.572807,542879
109719.580625,543391
109719.588814,543928
109719.596956,544462
109719.604749,544972
109719.612865,545504
109719.620836,546027
109719.628692,546541
109719.637034,547088
109719.647465,547772
109719.654434,548228
109719.662551,548760
109719.669199,549196
109719.676631,549683
109719.686624,550338
109719.694623,550862
109719.703713,551458
109719.708552,551775
109719.720644,552567
109719.726652,552961
109719.732544,553347
109719.740545,553872
109719.750813,554545
109719.757814,555003
109719.764928,555470
109719.773223,556013
109719.780771,556508
109719.788605,557021
109719.797531,557606
109719.804813,558084
109719.812478,558586
109719.820551,559115
109719.829506,559702
109719.837161,560203
109719.846667,560826
109719.853466,561272
109719.860472,561731
109719.869195,562303
109719.876919,562809
109719.885459,563369
109719.896711,564106
109719.924367,565918
109719.949736,567581
109719.980412,569591
109719.988893,570147
109719.994682,570527
109720.006544,571304
109720.011356,571619
109720.016679,571968
109720.026912,572639
109720.033623,573079
109720.040684,573541
109720.048615,574061
109720.058195,574689
109720.077494,575954
109720.083680,576359
109720.096453,577196
109720.103447,577654
109720.114542,578382
109720.121226,578820
109720.129379,579354
109720.139622,580025
109720.144930,580373
109720.153481,580933
109720.162068,581496
109720.170008,582017
109720.177180,582487
109720.185384,583024
109720.192623,583499
109720.200871,584039
109720.208768,584557
109720.217733,585144
109720.224577,585593
109720.232573,586117
109720.240780,586655
109720.248556,587164
109720.256918,587712
109720.265627,588283
109720.285371,589577
109720.293777,590128
109720.297746,590388
109720.304598,590837
109720.313418,591415
109720.320749,591895
109720.328527,592405
109720.337203,592974
109720.344858,593475
109720.353048,594012
109720.364859,594786
109720.372487,595286
109720.380542,595814
109720.388672,596347
109720.396484,596859
109720.404691,597397
109720.412676,597920
109720.420809,598453
109720.428544,598960
109720.436691,599494
109720.444538,600008
109720.453295,600582
109720.460586,601060
109720.468640,601587
109720.476549,602106
109720.484721,602641
109720.492591,603157
109720.505409,603997
109720.509260,604249
109720.516561,604728
109720.524717,605262
109720.532635,605781
109720.540617,606304
109720.548566,606825
109720.556826,607367
109720.568882,608157
109720.573329,608448
109720.581145,608960
109720.589188,609488
109720.596667,609978
109720.604572,610496
109720.612942,611044
109720.620673,611551
109720.628728,612079
109720.636627,612596
109720.644847,613135
109720.652884,613662
109720.661582,614232
109720.670718,614831
109720.679994,615438
109720.687852,615953
109720.692799,616278
109720.700487,616781
109720.713752,617651
109720.719747,618044
109720.726242,618469
109720.742001,619502
109720.754406,620315
109720.769290,621291
109720.773464,621564
109720.786927,622446
109720.790895,622706
109720.803933,623561
109720.808632,623869
109720.812842,624145
109720.820734,624662
109720.832450,625430
109720.840571,625962
109720.848547,626485
109720.858710,627151
109720.864544,627533
109720.872588,628060
109720.880744,628595
109720.888552,629106
109720.896562,629631
109720.904559,630155
109720.912557,630680
109720.920563,631204
109720.928606,631731
109720.939720,632460
109720.945747,632855
109720.952549,633300
109720.960675,633833
109720.968644,634355
109720.976567,634874
109720.984627,635403
109720.992591,635925
109721.000482,636442
109721.008527,636969
109721.016528,637493
109721.024554,638019
109721.032493,638540
