# timestamps [seconds],pts
109711.330979,2752
109711.356066,4396
109711.362123,4793
109711.366326,5068
109711.374363,5595
109711.382157,6106
109711.390159,6630
109711.398122,7152
109711.406147,7678
109711.414170,8204
109711.422177,8728
109711.430196,9254
109711.438508,9799
109711.446133,10298
109711.464307,11489
109711.471042,11931
109711.478090,12393
109711.487381,13002
109711.494088,13441
109711.502098,13966
109711.510148,14494
109711.518098,15015
109711.526232,15548
109711.534112,16064
109711.542086,16587
109711.550188,17118
109711.558322,17651
109711.566186,18166
109711.574231,18693
109711.582981,19267
109711.590361,19750
109711.598265,20268
109711.608089,20912
109711.614249,21316
109711.625928,22081
109711.632234,22495
109711.657225,24132
109711.673390,25192
109711.678247,25510
109711.688357,26173
109711.694198,26555
109711.702182,27079
109711.724329,28530
109711.737707,29407
109711.742266,29705
109711.755479,30571
109711.762325,31020
109711.772355,31677
109711.778398,32073
109711.788464,32733
109711.794176,33107
109711.802214,33634
109711.813710,34388
109711.820495,34832
109711.826500,35226
109711.834240,35733
109711.842213,36256
109711.850230,36781
109711.858842,37345
109711.867202,37893
109711.874472,38370
109711.883313,38949
109711.890816,39441
109711.898566,39949
109711.906198,40449
109711.915383,41051
109711.922847,41540
109711.930370,42033
109711.942473,42826
109711.948672,43232
109711.958346,43866
109711.963963,44234
109711.973898,44885
109711.982049,45420
109711.993876,46195
109712.004425,46886
109712.010386,47277
109712.019065,47846
109712.028551,48467
109712.034412,48851
109712.042897,49407
109712.050699,49919
109712.058216,50411
109712.071743,51298
109712.077706,51689
109712.089098,52435
109712.092581,52663
109712.098369,53043
109712.106896,53602
109712.114140,54076
109712.122588,54630
109712.132172,55258
109712.138872,55697
109712.146148,56174
109712.154355,56712
109712.162187,57225
109712.171276,57821
109712.178181,58273
109712.186205,58799
109712.194125,59318
109712.206545,60132
109712.214209,60634
109712.222181,61157
109712.230148,61679
109712.238428,62221
109712.246107,62725
109712.254257,63259
109712.262344,63789
109712.270832,64345
109712.282107,65084
109712.287750,65454
109712.294152,65873
109712.302166,66399
109712.310996,66977
109712.318137,67445
109712.328367,68116
109712.334086,68490
109712.342205,69022
109712.350182,69545
109712.358210,70071
109712.366339,70604
109712.374127,71114
109712.382127,71639
109712.390513,72188
109712.398106,72686
109712.409161,73410
109712.416692,73904
109712.433016,74974
109712.445146,75769
109712.450890,76145
109712.459649,76719
109712.464689,77049
109712.487016,78513
109712.494911,79030
109712.505218,79706
109712.513492,80248
109712.521338,80762
109712.526660,81111
109712.534182,81604
109712.542832,82171
109712.550207,82654
109712.558130,83173
109712.566219,83703
109712.574942,84275
109712.589309,85216
109712.593150,85468
109712.605580,86283
109712.610022,86574
109712.614637,86876
109712.627317,87707
109712.631592,87987
109712.638426,88435
109712.646426,88960
109712.656598,89626
109712.662989,90045
109712.674185,90779
109712.682264,91308
109712.690428,91843
109712.698933,92401
109712.706773,92914
109712.724783,94095
109712.733890,94692
109712.740010,95093
109712.746284,95504
109712.754288,96028
109712.762606,96573
109712.771070,97128
109712.779630,97689
109712.788648,98280
109712.796457,98792
109712.802741,99204
109712.814364,99965
109712.818571,100241
109712.826790,100780
109712.834560,101289
109712.842143,101786
109712.854207,102577
109712.861822,103076
109712.867245,103431
109712.874385,103899
109712.883420,104491
109712.890269,104940
109712.898309,105467
109712.907206,106050
109712.914258,106512
109712.922232,107035
109712.930482,107575
109712.938545,108104
109712.948168,108734
109712.954939,109178
109712.962263,109658
109712.970545,110201
109712.978186,110701
109712.986332,111235
109712.994885,111796
109713.003823,112382
109713.013153,112993
109713.018286,113329
109713.026471,113866
109713.037946,114618
109713.043351,114972
109713.076600,117151
109713.084569,117673
109713.092550,118196
109713.098406,118580
109713.107337,119165
109713.114238,119618
109713.123062,120196
109713.132675,120826
109713.144117,121576
109713.155029,122291
109713.159275,122569
109713.166305,123030
109713.174588,123573
109713.182362,124082
109713.190310,124603
109713.198216,125121
109713.206194,125644
109713.214197,126168
109713.222340,126702
109713.231906,127329
109713.241000,127925
109713.252361,128670
109713.260338,129192
109713.264655,129475
109713.271247,129907
109713.278507,130383
109713.286653,130917
109713.294223,131413
109713.302227,131938
109713.310246,132463
109713.318646,133014
109713.326291,133515
109713.336940,134212
109713.344565,134712
109713.350178,135080
109713.358317,135613
109713.366425,136145
109713.374150,136651
109713.382983,137230
109713.390947,137752
109713.398665,138258
109713.406320,138759
109713.414213,139277
109713.423797,139905
109713.430159,140322
109713.438269,140853
109713.446826,141414
109713.454369,141908
109713.462281,142427
109713.470422,142960
109713.478090,143463
109713.486257,143998
109713.494869,144562
109713.502166,145041
109713.510097,145560
109713.518426,146106
109713.526121,146610
109713.534384,147152
109713.555210,148517
109713.568170,149366
109713.574455,149778
109713.582222,150287
109713.591072,150867
109713.598095,151327
109713.610140,152117
109713.618184,152644
109713.626356,153179
109713.636620,153852
109713.642755,154254
109713.650160,154739
109713.661161,155460
109713.668627,155950
109713.674282,156320
109713.686459,157118
109713.691249,157432
109713.704258,158285
109713.715289,159008
109713.729632,159948
109713.735026,160301
109713.743883,160881
109713.748058,161155
109713.754347,161567
109713.762233,162084
109713.771286,162677
109713.778198,163130
109713.786410,163668
109713.794423,164194
109713.804264,164839
109713.810487,165246
109713.821263,165953
109713.827718,166376
109713.843572,167415
109713.849610,167810
109713.855882,168221
109713.862835,168677
109713.871987,169277
109713.877376,169630
109713.882326,169954
109713.890398,170483
109713.898218,170996
109713.906101,171512
109713.914173,172041
109713.922704,172600
109713.931201,173157
109713.938767,173653
109713.946353,174150
109713.954541,174687
109713.962502,175209
109713.970425,175728
109713.978257,176241
109713.986685,176793
109713.995739,177387
109714.002266,177815
109714.010188,178334
109714.023062,179177
109714.027101,179442
109714.034185,179906
109714.043641,180526
109714.050101,180949
109714.058100,181474
109714.066216,182006
109714.078162,182788
109714.086282,183321
109714.094523,183861
109714.102202,184364
109714.110744,184924
109714.118149,185409
109714.126151,185933
109714.134379,186473
109714.142163,186983
109714.150206,187510
109714.158139,188030
109714.166172,188556
109714.174163,189080
109714.182157,189604
109714.190203,190131
109714.198687,190687
109714.206142,191176
109714.214187,191703
109714.222468,192246
109714.230130,192748
109714.238137,193272
109714.246165,193799
109714.254146,194322
109714.262094,194842
109714.270284,195379
109714.278105,195892
109714.286253,196426
109714.294083,196939
109714.302194,197470
109714.310092,197988
109714.318067,198511
109714.326095,199037
109714.334076,199560
109714.342082,200084
109714.351940,200730
109714.358076,201133
109714.366072,201657
109714.374164,202187
109714.382081,202706
109714.390082,203230
109714.398195,203762
109714.406076,204278
109714.414138,204807
109714.422302,205342
109714.430105,205853
109714.438106,206377
109714.446137,206904
109714.454110,207426
109714.462159,207954
109714.470229,208483
109714.478224,209006
109714.486355,209539
109714.501914,210559
109714.509401,211050
109714.516539,211517
109714.526053,212141
109714.531288,212484
109714.540811,213108
109714.546158,213459
109714.554205,213986
109714.566315,214780
109714.572067,215156
109714.578999,215611
109714.586848,216125
109714.594169,216605
109714.604698,217295
109714.610288,217661
109714.621780,218414
109714.626884,218749
109714.641798,219726
109714.647962,220130
109714.665316,221268
109714.676895,222026
109714.686961,222686
109714.695679,223257
109714.700180,223552
109714.711824,224315
109714.726966,225308
109714.741539,226263
109714.747219,226635
109714.769910,228122
109714.787519,229276
109714.804273,230374
109714.820328,231426
109714.837580,232557
109714.843772,232963
109714.853991,233632
109714.859529,233995
109714.866183,234431
109714.874529,234978
109714.882255,235485
109714.890579,236030
109714.899308,236602
109714.906993,237106
109714.921447,238053
109714.927893,238476
109714.937871,239129
109714.942309,239420
109714.947372,239752
109714.956412,240345
109714.965170,240918
109714.972803,241419
109714.978521,241793
109714.986667,242327
109714.994329,242829
109715.006426,243622
109715.014278,244137
109715.022899,244702
109715.030412,245194
109715.038403,245718
109715.046396,246242
109715.054381,246765
109715.062916,247324
109715.070357,247812
109715.078206,248326
109715.086583,248875
109715.094147,249371
109715.102272,249903
109715.110082,250415
109715.118174,250946
109715.126211,251472
109715.134136,251992
109715.142237,252523
109715.150142,253041
109715.158153,253566
109715.166148,254090
109715.174289,254623
109715.182191,255141
109715.190315,255673
109715.198359,256201
109715.206217,256716
109715.214179,257237
109715.222184,257762
109715.230182,258286
109715.238504,258831
109715.246647,259365
109715.254831,259901
109715.262140,260380
109715.272093,261033
109715.278585,261458
109715.289152,262151
109715.294734,262516
109715.302433,263021
109715.311129,263591
109715.319117,264114
109715.328986,264761
109715.334379,265115
109715.342969,265678
109715.350219,266153
109715.358173,266674
109715.366109,267194
109715.374454,267741
109715.382096,268242
109715.390096,268766
109715.398412,269311
109715.406332,269830
109715.414156,270343
109715.422182,270869
109715.430309,271401
109715.438302,271925
109715.446572,272467
109715.455232,273035
109715.462147,273488
109715.474301,274284
109715.482311,274809
109715.490198,275326
109715.498198,275850
109715.506167,276373
109715.514144,276896
109715.522176,277422
109715.530604,277974
109715.538157,278469
109715.546242,278999
109715.554807,279560
109715.562165,280043
109715.571036,280624
109715.578419,281108
109715.586918,281665
109715.594221,282143
109715.602529,282688
109715.610364,283201
109715.622005,283964
109715.630957,284551
109715.635536,284851
109715.644182,285418
109715.650337,285821
109715.658182,286335
109715.666224,286862
109715.675012,287438
109715.682371,287920
109715.690155,288430
109715.698257,288961
109715.707156,289545
109715.715160,290069
109715.724276,290667
109715.730183,291054
109715.742812,291881
109715.750309,292373
109715.758075,292882
109715.762649,293181
109715.771464,293759
109715.787071,294782
109715.792679,295149
109715.800490,295661
109715.805126,295965
109715.810347,296307
109715.818096,296815
109715.826105,297340
109715.835062,297927
109715.853150,299112
109715.875651,300587
109715.888182,301408
109715.891875,301650
109715.903361,302403
109715.908476,302738
109715.914156,303110
109715.922356,303648
109715.930183,304161
109715.942221,304950
109715.950637,305501
109715.958404,306010
109715.966187,306520
109715.974519,307066
109715.985067,307757
109715.991870,308203
109716.003719,308980
109716.008359,309284
109716.014217,309668
109716.022230,310193
109716.030332,310724
109716.042617,311529
109716.046834,311805
109716.054212,312289
109716.062300,312819
109716.070988,313388
109716.078367,313872
109716.086898,314431
109716.094202,314910
109716.118189,316482
109716.125417,316955
109716.130005,317256
109716.135260,317600
109716.155695,318940
109716.170831,319931
109716.174355,320162
109716.187636,321033
109716.191308,321273
109716.203179,322051
109716.207433,322330
109716.221383,323244
109716.224880,323474
109716.230114,323817
109716.238577,324371
109716.246093,324864
109716.254163,325393
109716.262126,325915
109716.270841,326486
109716.278141,326964
109716.286936,327540
109716.294093,328009
109716.302132,328536
109716.310221,329066
109716.318085,329582
109716.326554,330137
109716.334278,330643
109716.342086,331155
109716.352267,331822
109716.359162,332274
109716.366096,332728
109716.374140,333255
109716.382377,333795
109716.390214,334309
109716.409067,335544
109716.433414,337140
109716.440620,337612
109716.445135,337908
109716.450581,338265
109716.459119,338824
109716.466209,339289
109716.475018,339866
109716.483898,340448
109716.490405,340875
109716.503029,341702
109716.508537,342063
109716.514164,342432
109716.522270,342963
109716.530149,343479
109716.538196,344007
109716.546090,344524
109716.555464,345138
109716.562579,345605
109716.570833,346146
109716.578654,346658
109716.586515,347173
109716.594140,347673
109716.602203,348201
109716.610351,348735
109716.618251,349253
109716.626173,349772
109716.634195,350298
109716.644093,350947
109716.650409,351361
109716.659681,351968
109716.667978,352512
109716.684298,353582
109716.690776,354006
109716.698205,354493
109716.710440,355295
109716.719272,355874
109716.735885,356962
109716.743351,357452
109716.748288,357775
109716.755625,358256
109716.762095,358680
109716.770454,359228
109716.778264,359740
109716.787322,360333
109716.794254,360788
109716.804078,361431
109716.810635,361861
109716.818109,362351
109716.827804,362986
109716.839868,363777
109716.847634,364286
109716.854633,364744
109716.859350,365054
109716.867531,365590
109716.879317,366362
109716.890815,367116
109716.895899,367449
109716.902714,367895
109716.910203,368386
109716.918166,368908
109716.926947,369484
109716.934113,369953
109716.942430,370498
109716.950337,371016
109716.958465,371549
109716.969097,372246
109716.974686,372612
109716.982151,373101
109716.990150,373626
109716.998191,374153
109717.006194,374677
109717.014353,375212
109717.022271,375731
109717.030153,376247
109717.038191,376774
109717.046224,377300
109717.054302,377830
109717.062130,378343
109717.070692,378904
109717.078573,379420
109717.087670,380017
109717.094514,380465
109717.103273,381039
109717.110111,381487
109717.118099,382011
109717.126219,382543
109717.134205,383066
109717.142131,383586
109717.150114,384109
109717.158099,384632
109717.166071,385155
109717.174207,385688
109717.182087,386204
109717.190296,386742
109717.198775,387298
109717.206640,387813
