key,value
Player Software Version,2.3.0
Data Format Version,2.0
Export Date,26.10.2020
Export Time,10:02:09
Frame Index Range:,0 - 9750
Relative Time Range,00:00.000 - 05:25.000
Absolute Time Range,109711.288112 - 110036.2881120662
