1603283093;;
1;;
60;14:24:53;
71,5;14:24:54;
65;14:24:55;
75;14:24:56;
77,8;14:24:57;
76,5;14:24:58;
75,43;14:24:59;
74,5;14:25:00;
73,67;14:25:01;
73,1;14:25:02;
72,64;14:25:03;
72,17;14:25:04;
71,62;14:25:05;
71,07;14:25:06;
70,53;14:25:07;
70,12;14:25:08;
69,82;14:25:09;
69,56;14:25:10;
69,26;14:25:11;
69;14:25:12;
68,81;14:25:13;
68,68;14:25:14;
68,57;14:25:15;
68,42;14:25:16;
68,24;14:25:17;
68,04;14:25:18;
67,89;14:25:19;
67,75;14:25:20;
67,66;14:25:21;
67,6;14:25:22;
67,52;14:25:23;
67,44;14:25:24;
67,33;14:25:25;
67,24;14:25:26;
67,17;14:25:27;
67,14;14:25:28;
67,11;14:25:29;
67,05;14:25:30;
66,97;14:25:31;
66,88;14:25:32;
66,76;14:25:33;
66,64;14:25:34;
66,56;14:25:35;
66,5;14:25:36;
66,44;14:25:37;
66,39;14:25:38;
66,36;14:25:39;
66,35;14:25:40;
66,37;14:25:41;
66,38;14:25:42;
66,39;14:25:43;
66,38;14:25:44;
66,4;14:25:45;
66,43;14:25:46;
66,47;14:25:47;
66,5;14:25:48;
66,51;14:25:49;
66,5;14:25:50;
66,47;14:25:51;
66,47;14:25:52;
66,57;14:25:53;
66,28;14:25:54;
66,5;14:25:55;
65,82;14:25:56;
65,38;14:25:57;
65,28;14:25:58;
65,2;14:25:59;
65,13;14:26:00;
65,08;14:26:01;
64,98;14:26:02;
64,88;14:26:03;
64,78;14:26:04;
64,72;14:26:05;
64,67;14:26:06;
64,65;14:26:07;
64,6;14:26:08;
64,53;14:26:09;
64,47;14:26:10;
64,42;14:26:11;
64,35;14:26:12;
64,27;14:26:13;
64,17;14:26:14;
64,07;14:26:15;
63,98;14:26:16;
63,92;14:26:17;
63,87;14:26:18;
63,8;14:26:19;
63,73;14:26:20;
63,67;14:26:21;
63,57;14:26:22;
63,48;14:26:23;
63,42;14:26:24;
63,4;14:26:25;
63,4;14:26:26;
63,38;14:26:27;
63,33;14:26:28;
63,28;14:26:29;
63,25;14:26:30;
63,27;14:26:31;
63,3;14:26:32;
63,37;14:26:33;
63,4;14:26:34;
63,4;14:26:35;
63,38;14:26:36;
63,38;14:26:37;
63,4;14:26:38;
63,42;14:26:39;
63,4;14:26:40;
63,35;14:26:41;
63,3;14:26:42;
63,23;14:26:43;
63,23;14:26:44;
63,22;14:26:45;
63,18;14:26:46;
63,12;14:26:47;
63,05;14:26:48;
63,02;14:26:49;
63;14:26:50;
63,02;14:26:51;
63;14:26:52;
62,95;14:26:53;
62,9;14:26:54;
62,83;14:26:55;
62,78;14:26:56;
62,75;14:26:57;
62,68;14:26:58;
62,62;14:26:59;
62,55;14:27:00;
62,53;14:27:01;
62,57;14:27:02;
62,62;14:27:03;
62,7;14:27:04;
62,8;14:27:05;
62,92;14:27:06;
63,07;14:27:07;
63,25;14:27:08;
63,45;14:27:09;
63,67;14:27:10;
63,92;14:27:11;
64,23;14:27:12;
64,58;14:27:13;
64,95;14:27:14;
65,33;14:27:15;
65,73;14:27:16;
66,17;14:27:17;
66,62;14:27:18;
67,08;14:27:19;
67,58;14:27:20;
68,05;14:27:21;
68,53;14:27:22;
69,02;14:27:23;
69,45;14:27:24;
69,82;14:27:25;
70,17;14:27:26;
70,5;14:27:27;
70,85;14:27:28;
71,22;14:27:29;
71,58;14:27:30;
71,95;14:27:31;
72,3;14:27:32;
72,6;14:27:33;
72,93;14:27:34;
73,28;14:27:35;
73,63;14:27:36;
73,93;14:27:37;
74,08;14:27:38;
74,23;14:27:39;
74,4;14:27:40;
74,6;14:27:41;
74,77;14:27:42;
74,92;14:27:43;
74,97;14:27:44;
74,98;14:27:45;
75;14:27:46;
75,05;14:27:47;
75,13;14:27:48;
75,2;14:27:49;
75,22;14:27:50;
75,18;14:27:51;
75,17;14:27:52;
75,17;14:27:53;
75,17;14:27:54;
75,2;14:27:55;
75,22;14:27:56;
75,22;14:27:57;0
75,22;14:27:58;1
75,22;14:27:59;2
75,23;14:28:00;3
75,22;14:28:01;4
75,18;14:28:02;5
75,13;14:28:03;6
75,07;14:28:04;7
74,98;14:28:05;8
74,88;14:28:06;9
74,75;14:28:07;10
74,6;14:28:08;11
74,43;14:28:09;12
74,23;14:28:10;13
74;14:28:11;14
73,72;14:28:12;15
73,4;14:28:13;16
73,07;14:28:14;17
72,73;14:28:15;18
