key,value
Player Software Version,2.3.0
Data Format Version,2.0
Export Date,26.10.2020
Export Time,17:07:46
Frame Index Range:,0 - 8650
Relative Time Range,00:00.000 - 04:48.333
Absolute Time Range,14674.029298 - 14962.362631329137
