id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,14674.864944,0.16756899999927555,14675.032513,26,28,31,0.5291675623459078,0.560160388363165 0.7151487236017275 0.7536133846013691 0.4735474574414891 0.2961654610582501 -0.022407987334829876 -0.3812840986656391 -0.7022531460354194 -0.7452649085169483 -0.6418300678402408,14674.864944 14674.87615 14674.898463000001 14674.909747 14674.932196 14674.942738 14674.965052000001 14674.976151 14674.99874 14675.012644
2,14675.176073,0.17215000000032887,14675.348223,35,37,40,0.5420888769336771,0.5121794419130881 0.6973646270982734 0.7411069104283375 0.8196298197564769 0.5041289484160432 0.1498849665850185 -0.15481906597737854 -0.4888097634848834 -0.5363634692410427 -0.8166017564362287,14675.176073 14675.198228000001 14675.209017000001 14675.231292 14675.242149 14675.264930000001 14675.290885 14675.299055000001 14675.313446 14675.340589000001
3,14675.745235,0.1343799999995099,14675.879615,52,54,56,0.4314701352369067,0.5734936100900917 0.6381387846741305 0.5962499471749438 0.27498333987066587 0.040331768365157616 -0.27496136047850284 -0.40126076291996804 -0.6523415083217937,14675.745235 14675.747167000001 14675.778825000001 14675.780632 14675.812089000001 14675.813459 14675.845682000001 14675.847294000001
4,14677.300016000001,0.1675199999990582,14677.467536,99,101,104,0.5036250440909827,0.5638974093051053 0.5462597004977502 0.683175115031888 0.6549393291800324 0.4959927157093196 0.16880508263643118 -0.18416036720891824 -0.25547412751090415 -0.5636021445335105 -0.6312619511752359 -0.7923075422117147,14677.300016000001 14677.3055 14677.333949 14677.338535 14677.386269 14677.386293000001 14677.400333000001 14677.404827 14677.40834 14677.438095000001 14677.440441
5,14681.890742000001,0.13337499999943248,14682.024117,236,238,240,0.4991566437227074,0.6403180476323713 0.5865203328311268 0.5503578862766741 0.2147807908387414 -0.11684360227118044 -0.42584856250790626 -0.7469752200115285 -0.7116087074121306,14681.890742000001 14681.895632 14681.927171000001 14681.930307 14681.957213 14681.966897 14681.990762000001 14681.996552
6,14682.324115000001,0.13306399999964924,14682.457179,249,251,253,0.45288932230394663,0.5071035563189019 0.6434016786435157 0.564984703101701 0.23937370295236277 -0.06892751407381763 -0.37836932116726124 -0.4611991349540823 -0.7597549672199302,14682.324115000001 14682.332467 14682.357333 14682.365842000001 14682.390644000001 14682.399502 14682.424140000001 14682.449256
7,14682.737344000001,0.16675299999951676,14682.904097,262,264,267,0.5734593367288741,0.5295241320574724 0.6837485233942666 0.7978687509181026 0.7439926284144233 0.3841400954271821 0.0348465914892843 -0.29031727624922754 -0.6092129760504957 -0.8177090944930954 -0.8432332987951922,14682.737344000001 14682.768405 14682.770824000001 14682.801318 14682.804034 14682.834678000001 14682.837491 14682.868214 14682.870727000001 14682.901513
8,14685.401985,0.19499399999949674,14685.596979,342,345,348,0.5234108229134635,0.5755597547392642 0.7279947925641066 0.7134453446386267 0.6390187193704504 0.3563700498859606 0.006552338308130828 -0.3096704022360824 -0.5974857456866989 -0.6560348949694007 -0.6519761867359132,14685.401985 14685.428508 14685.435401 14685.466467 14685.4923 14685.51027 14685.523913 14685.546013000001 14685.563773 14685.580147
9,14686.037799,0.11744300000100338,14686.155242,361,362,364,0.3961323126699217,0.5164671663763282 0.4997926637924832 0.45632228549393133 0.1355022938876783 -0.151391020897749 -0.2841699815605959 -0.5667324890840266 -0.5586806002665813,14686.037799 14686.037847000001 14686.05542 14686.055421000001 14686.088394 14686.088503 14686.121902 14686.121902
10,14689.647568,0.1448789999994915,14689.792447,469,471,473,0.6352389429301345,0.6115398794250415 0.7891609261271085 0.8898161838289823 0.8883213565467619 0.5459564628680411 0.200981337519915 -0.1161815117650692 -0.4429620451141416 -0.7440408679918135 -0.9715643592361012 -0.7871034418085036,14689.647568 14689.647603000001 14689.658792 14689.660582 14689.66847 14689.691725 14689.693894 14689.724868000001 14689.727184000001 14689.758766 14689.760865
