# timestamps [seconds],pts
14680.491851,423503
14680.523354,425567
14680.556584,427745
14680.590012,429936
14680.623295,432117
14680.656421,434288
14680.689958,436486
14680.723268,438669
14680.756971,440878
14680.789971,443040
14680.823667,445248
14680.858287,447517
14680.889862,449587
14680.923215,451772
14680.956518,453955
14680.990107,456156
14681.023493,458344
14681.056396,460500
14681.089510,462670
14681.123018,464866
14681.156635,467070
14681.189908,469250
14681.223445,471448
14681.299492,476432
14681.328563,478337
14681.360985,480462
14681.393824,482614
14681.427173,484799
14681.460969,487014
14681.494429,489207
14681.527699,491387
14681.560847,493560
14681.594201,495745
14681.631029,498159
14681.661631,500164
14681.695180,502363
14681.729282,504598
14681.765838,506994
14681.796833,509025
14681.829020,511134
14681.862197,513309
14681.895632,515500
14681.930307,517772
14681.966897,520170
14681.996552,522113
14682.035744,524682
14682.064101,526540
14682.097509,528730
14682.131025,530926
14682.164310,533108
14682.217486,536592
14682.232842,537599
14682.243008,538265
14682.266206,539785
14682.299078,541940
14682.332467,544128
14682.365842,546315
14682.399502,548521
14682.449256,551781
14682.472726,553320
14682.505092,555441
14682.538349,557620
14682.580119,560358
14682.605392,562014
14682.638961,564214
14682.715438,569226
14682.735348,570530
14682.768405,572697
14682.801318,574854
14682.834678,577040
14682.868214,579238
14682.901513,581420
14682.935075,583620
14682.944692,584250
14682.968538,585813
14683.001546,587976
14683.034734,590151
14683.068186,592343
14683.101671,594537
14683.137627,596894
14683.170105,599022
14683.202696,601158
14683.235748,603324
14683.268930,605499
14683.303509,607765
14683.336406,609921
14683.369601,612096
14683.403023,614287
14683.437945,616575
14683.469275,618628
14683.502722,620820
14683.535951,622998
14683.569237,625179
14683.602949,627389
14683.644306,630099
14683.669248,631734
14683.703483,633977
14683.736701,636154
14683.770163,638347
14683.803293,640518
14683.835630,642637
14683.868999,644824
14683.902655,647030
14683.936764,649265
14683.969490,651410
14684.003747,653655
14684.036407,655795
14684.069281,657950
14684.102924,660155
14684.136280,662341
14684.169384,664510
14684.202791,666699
14684.236242,668892
14684.269306,671058
14684.302744,673250
14684.336267,675447
14684.369698,677638
14684.402970,679818
14684.437034,682050
14684.469068,684150
14684.502746,686357
14684.536313,688557
14684.569373,690723
14684.602921,692922
14684.636378,695114
14684.669333,697274
14684.703054,699484
14684.737372,701733
14684.769452,703835
14684.802755,706018
14684.836735,708245
14684.869407,710386
14684.914394,713334
14684.936444,714779
14684.969493,716945
14685.003095,719147
14685.036786,721355
14685.070031,723534
14685.102795,725681
14685.136296,727877
14685.172551,730253
14685.241027,734740
14685.265100,736318
14685.294485,738244
14685.327599,740414
14685.361483,742634
14685.394768,744816
14685.428508,747027
14685.466467,749514
14685.510270,752385
14685.546013,754727
14685.580147,756964
14685.612577,759090
14685.645489,761247
14685.679055,763446
14685.712597,765644
14685.745759,767818
14685.779786,770048
14685.812544,772195
14685.845675,774366
14685.879128,776558
14685.916583,779013
14685.946010,780941
14685.979554,783140
14686.037847,786960
14686.055421,788111
14686.088394,790272
14686.121902,792468
14686.155242,794653
14686.237566,800048
14686.257664,801365
14686.290272,803502
14686.323863,805704
14686.356681,807855
14686.389768,810023
14686.423468,812231
14686.456773,814414
14686.490138,816601
14686.524083,818825
14686.557051,820986
14686.590458,823175
14686.623480,825339
14686.656922,827531
14686.690102,829705
14686.723659,831904
14686.757237,834105
14686.790177,836264
14686.823600,838454
14686.856867,840634
14686.890538,842841
14686.924263,845051
14686.956873,847188
14686.990245,849375
14687.023830,851576
14687.056782,853736
14687.089990,855912
14687.123784,858127
14687.156696,860284
14687.190624,862507
14687.225632,864801
14687.262535,867220
14687.290667,869063
14687.323696,871228
14687.356822,873399
14687.390604,875613
14687.424489,877833
14687.509366,883396
14687.564314,886997
14687.573607,887606
14687.582843,888211
14687.606978,889793
14687.640654,892000
14687.673929,894180
14687.707504,896381
14687.740424,898538
14687.773959,900736
14687.807735,902949
14687.841327,905151
14687.874253,907309
14687.907369,909479
14687.940633,911659
14687.974915,913906
14688.009515,916173
14688.042335,918324
14688.075464,920495
14688.113140,922964
14688.141776,924841
14688.175586,927056
14688.208547,929217
14688.241784,931395
14688.275160,933582
14688.309103,935807
14688.342103,937969
14688.376133,940199
14688.409181,942365
14688.443157,944592
14688.475821,946732
14688.515998,949365
14688.545824,951320
14688.576653,953340
14688.609484,955492
14688.643061,957692
14688.676344,959874
14688.710149,962089
14688.743294,964261
14688.776569,966442
14688.815090,968966
14688.847070,971062
14688.879383,973180
14688.912836,975372
14688.945858,977536
14688.979436,979737
14689.012803,981924
14689.045876,984091
14689.080037,986330
14689.112779,988475
14689.145919,990647
14689.179293,992834
14689.212515,995012
14689.245721,997188
14689.279689,999414
14689.312821,1001585
14689.345715,1003741
14689.379516,1005956
14689.412722,1008132
14689.446197,1010326
14689.479501,1012509
14689.512601,1014678
14689.545888,1016859
14689.579837,1019084
14689.647568,1023523
14689.658792,1024258
14689.691725,1026417
14689.724868,1028589
14689.758766,1030810
14689.792447,1033017
14689.825186,1035163
14689.858703,1037360
14689.892372,1039566
14689.925209,1041718
14689.958938,1043928
14689.992466,1046126
14690.024856,1048248
14690.058393,1050446
14690.091736,1052631
14690.125236,1054827
14690.158447,1057003
14690.191859,1059193
14690.228345,1061584
14690.258406,1063554
14690.291759,1065740
14690.325082,1067924
14690.358389,1070106
14690.392128,1072318
14690.425248,1074488
14690.460601,1076805
14690.492393,1078888
14690.525915,1081085
14690.559481,1083285
14690.592589,1085455
14690.626001,1087644
14690.659265,1089824
14690.692566,1092007
14690.725806,1094185
14690.759358,1096384
14690.792590,1098562
14690.826112,1100759
14690.859444,1102943
14690.892764,1105127
14690.925923,1107300
14690.959514,1109501
14690.992705,1111676
14691.025947,1113855
14691.059321,1116042
14691.092718,1118231
14691.125948,1120408
14691.159428,1122603
14691.192774,1124788
14691.225987,1126965
14691.259603,1129168
14691.292949,1131353
14691.326458,1133549
14691.359615,1135722
14691.392774,1137895
14691.426691,1140118
14691.461565,1142403
14691.493457,1144493
14691.526225,1146641
14691.560243,1148870
14691.593315,1151037
14691.626931,1153240
14691.660952,1155470
14691.693511,1157604
14691.754534,1161603
14691.772644,1162790
14691.805338,1164932
14691.838928,1167134
14691.872416,1169328
14691.905575,1171501
14691.939115,1173699
14691.972286,1175873
14692.005635,1178059
14692.039128,1180254
14692.072235,1182423
14692.105506,1184604
14692.139239,1186814
14692.172493,1188994
14692.206233,1191205
14692.242407,1193576
14692.275489,1195744
14692.308376,1197899
14692.341665,1200080
14692.374406,1202226
14692.407890,1204421
14692.452604,1207351
14692.474935,1208814
14692.507608,1210956
14692.541261,1213161
14692.574589,1215345
14692.607777,1217520
14692.641156,1219708
14692.674178,1221872
14692.708270,1224106
14692.741953,1226313
14692.822264,1231577
14692.840968,1232802
14692.885258,1235705
14692.906977,1237128
14692.940350,1239315
14692.974039,1241523
14693.008123,1243757
14693.048269,1246388
14693.081201,1248546
14693.114870,1250752
14693.148346,1252946
14693.181293,1255105
14693.214452,1257279
14693.255247,1259952
14693.281575,1261677
14693.314919,1263863
14693.348477,1266062
14693.395796,1269163
14693.422856,1270936
14693.472572,1274194
14693.478445,1274579
14693.505245,1276336
14693.538688,1278527
14693.572371,1280735
14693.605583,1282911
14693.639647,1285144
14693.672767,1287314
14693.706283,1289511
14693.740439,1291749
14693.772697,1293863
14693.805992,1296045
14693.838891,1298201
14693.872229,1300386
14693.906136,1302608
14693.940966,1304891
14693.972970,1306988
14694.005976,1309151
14694.039556,1311352
14694.077778,1313857
14694.086150,1314405
14694.111146,1316043
14694.145207,1318276
14694.178187,1320437
14694.211227,1322602
14694.245300,1324835
14694.277356,1326936
14694.311128,1329149
14694.344803,1331356
14694.377452,1333496
14694.413302,1335845
14694.444326,1337878
14694.478030,1340087
14694.511038,1342250
14694.545274,1344494
14694.577654,1346616
14694.611171,1348813
14694.644820,1351018
14694.677543,1353162
14694.711291,1355374
14694.744611,1357558
14694.778124,1359754
14694.811518,1361942
14694.844793,1364123
14694.877963,1366297
14694.911381,1368487
14694.944838,1370679
14694.978034,1372855
14695.010980,1375014
14695.044766,1377228
14695.078102,1379413
14695.111124,1381577
14695.145006,1383797
14695.177457,1385924
14695.210828,1388111
14695.244037,1390287
14695.290477,1393331
14695.315799,1394990
14695.349210,1397180
14695.382068,1399333
14695.416866,1401614
14695.449813,1403773
14695.483402,1405974
14695.516303,1408130
14695.553452,1410565
14695.583597,1412540
14695.616698,1414710
14695.649937,1416888
14695.683256,1419072
14695.716714,1421264
14695.749877,1423438
14695.783645,1425651
14695.817156,1427847
14695.851986,1430129
14695.886191,1432371
14695.923154,1434793
14695.955465,1436911
14695.985601,1438886
14696.019039,1441077
14696.053075,1443308
14696.085508,1445433
14696.119342,1447651
14696.152254,1449807
14696.191924,1452407
14696.219112,1454189
14696.252805,1456397
14696.285855,1458563
14696.319288,1460754
14696.352591,1462937
14696.386461,1465156
14696.419619,1467329
14696.453579,1469555
14696.487544,1471781
14696.520634,1473949
14696.554229,1476151
14696.587477,1478330
14696.621158,1480537
14696.654559,1482726
14696.687581,1484890
14696.730332,1487692
14696.758450,1489534
14696.791203,1491681
14696.824989,1493895
14696.857449,1496022
14696.891014,1498222
14696.924640,1500426
14697.003794,1505613
14697.025733,1507051
14697.057956,1509163
14697.091244,1511344
14697.124672,1513535
14697.157925,1515714
14697.191198,1517895
14697.224667,1520088
14697.266953,1522859
14697.291575,1524473
14697.325123,1526671
14697.357522,1528795
14697.391399,1531015
14697.424561,1533188
14697.467015,1535970
14697.491286,1537561
14697.524619,1539745
14697.557948,1541930
14697.591667,1544139
14697.638394,1547202
14697.668534,1549177
14697.700711,1551286
14697.734054,1553471
14697.767434,1555658
14697.800895,1557851
14697.834138,1560030
14697.867630,1562225
14697.900949,1564408
14697.934277,1566592
14697.967294,1568756
14698.000714,1570946
14698.034019,1573129
14698.067537,1575325
14698.131768,1579535
14698.150361,1580753
14698.202278,1584156
14698.220085,1585323
14698.253589,1587518
14698.287421,1589736
14698.320721,1591918
14698.353318,1594054
14698.386747,1596245
14698.420327,1598446
14698.491099,1603084
14698.512155,1604464
14698.544874,1606608
14698.579178,1608856
14698.612691,1611052
14698.645660,1613213
14698.679080,1615403
14698.712826,1617615
14698.745990,1619788
14698.779060,1621955
14698.812493,1624146
14698.845652,1626319
14698.878877,1628497
14698.912307,1630687
14698.945563,1632867
14698.978691,1635038
14699.012473,1637252
14699.045330,1639405
14699.078796,1641598
14699.112489,1643806
14699.145472,1645968
14699.178767,1648150
14699.212869,1650385
14699.245476,1652522
14699.278921,1654714
14699.312257,1656898
14699.345630,1659085
14699.378663,1661250
14699.412437,1663464
14699.445841,1665653
14699.479509,1667859
14699.512378,1670013
14699.547710,1672329
14699.578765,1674364
14699.612050,1676545
14699.645360,1678728
14699.679037,1680935
14699.713011,1683162
14699.745142,1685267
14699.778904,1687480
14699.811700,1689629
14699.845494,1691844
14699.878876,1694032
14699.914965,1696397
14699.945536,1698400
14699.978866,1700584
14700.012193,1702769
14700.045571,1704956
14700.078893,1707140
14700.112272,1709327
14700.145259,1711489
14700.179102,1713707
14700.212321,1715884
14700.245428,1718054
14700.281422,1720412
14700.349859,1724897
14700.366196,1725968
14700.399098,1728124
14700.433472,1730377
14700.466052,1732512
14700.499097,1734678
14700.532280,1736852
14700.565553,1739033
14700.599001,1741225
14700.633742,1743502
14700.665546,1745586
14700.699091,1747784
14700.732392,1749967
14700.765537,1752139
14700.799186,1754344
14700.832552,1756531
14700.865842,1758712
14700.899226,1760900
14700.932576,1763086
14700.965666,1765254
14701.000363,1767528
14701.043596,1770362
14701.069464,1772057
14701.102174,1774200
14701.135801,1776404
14701.168793,1778566
14701.202337,1780765
14701.236124,1782979
14701.269379,1785158
14701.302908,1787356
14701.336439,1789553
14701.369397,1791713
14701.402547,1793885
14701.436307,1796098
14701.469122,1798248
14701.503236,1800484
14701.537950,1802759
14701.569090,1804800
14701.602797,1807009
14701.636265,1809202
14701.668914,1811342
14701.702841,1813565
14701.736314,1815759
14701.769210,1817915
14701.802673,1820108
14701.835780,1822277
14701.869165,1824465
14701.902876,1826674
14701.936328,1828867
14701.969520,1831042
14702.002872,1833228
14702.044986,1835988
14702.069081,1837567
14702.106223,1840001
14702.136872,1842009
14702.169925,1844175
14702.202983,1846342
14702.236522,1848540
14702.271516,1850833
14702.303725,1852944
14702.336512,1855093
14702.369787,1857273
14702.403381,1859475
14702.436602,1861652
14702.478036,1864368
14702.504209,1866083
14702.536651,1868209
14702.569703,1870375
14702.603347,1872580
14702.636293,1874739
14702.672928,1877140
14702.703156,1879121
14702.736767,1881323
14702.769877,1883493
14702.803935,1885725
14702.836577,1887865
14702.869823,1890043
14702.903207,1892231
14702.985752,1897641
