key,value
Player Software Version,2.3.0
Data Format Version,2.0
Export Date,27.10.2020
Export Time,13:26:13
Frame Index Range:,0 - 13449
Relative Time Range,00:00.000 - 07:28.299
Absolute Time Range,189415.48955 - 189863.78954989562
