world_timestamp,world_index,fixation_id,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf
767.73579,0,0,767.3207585,528.5214999998971,1.3055584886331095,-0.10625074058771133,1.0195541381835938,-0.5312537029385567,3.0586624145507812,False
767.869831,1,0,767.3207585,528.5214999998971,1.3055584886331095,-0.10388294607400894,1.0231295824050903,-0.5194147303700447,3.069388747215271,False
773.834682,99,1,773.829853,403.4510000000182,1.3288975166037547,0.07389280945062637,0.9007073640823364,0.36946404725313187,2.7021220922470093,True
773.901703,100,1,773.829853,403.4510000000182,1.3288975166037547,0.0731002613902092,0.9031326174736023,0.365501306951046,2.709397852420807,True
773.968724,101,1,773.829853,403.4510000000182,1.3288975166037547,0.07141908258199692,0.9019538164138794,0.3570954129099846,2.705861449241638,True
774.035745,102,1,773.829853,403.4510000000182,1.3288975166037547,0.07223644107580185,0.903773844242096,0.36118220537900925,2.711321532726288,True
774.102766,103,1,773.829853,403.4510000000182,1.3288975166037547,0.07297080010175705,0.9041011929512024,0.36485400050878525,2.712303578853607,True
774.136276,104,1,773.829853,403.4510000000182,1.3288975166037547,0.07303884625434875,0.9052487015724182,0.3651942312717438,2.7157461047172546,True
774.203297,105,1,773.829853,403.4510000000182,1.3288975166037547,0.07209280133247375,0.9027296304702759,0.3604640066623688,2.7081888914108276,True
779.967086,199,2,779.9689555,911.7994999999155,1.4448040290076418,1.1159542798995972,1.0351672172546387,5.579771399497986,3.105501651763916,False
780.034106,200,2,779.9689555,911.7994999999155,1.4448040290076418,1.119696021080017,1.037031650543213,5.5984801054000854,3.1110949516296387,False
780.101127,201,2,779.9689555,911.7994999999155,1.4448040290076418,1.1218377351760864,1.0391247272491455,5.609188675880432,3.1173741817474365,False
780.168148,202,2,779.9689555,911.7994999999155,1.4448040290076418,1.124430775642395,1.0428674221038818,5.622153878211975,3.1286022663116455,False
780.235169,203,2,779.9689555,911.7994999999155,1.4448040290076418,1.1257120370864868,1.0431797504425049,5.628560185432434,3.1295392513275146,False
780.30219,204,2,779.9689555,911.7994999999155,1.4448040290076418,1.1248732805252075,1.0457215309143066,5.624366402626038,3.13716459274292,False
780.36921,205,2,779.9689555,911.7994999999155,1.4448040290076418,1.125118374824524,1.0487967729568481,5.62559187412262,3.1463903188705444,False
780.436231,206,2,779.9689555,911.7994999999155,1.4448040290076418,1.127516508102417,1.0582237243652344,5.637582540512085,3.174671173095703,False
780.503252,207,2,779.9689555,911.7994999999155,1.4448040290076418,1.1318089962005615,1.0647004842758179,5.659044981002808,3.1941014528274536,False
780.570273,208,2,779.9689555,911.7994999999155,1.4448040290076418,1.1352349519729614,1.0692682266235352,5.676174759864807,3.2078046798706055,False
780.603783,209,2,779.9689555,911.7994999999155,1.4448040290076418,1.1363787651062012,1.0693925619125366,5.681893825531006,3.20817768573761,False
780.670804,210,2,779.9689555,911.7994999999155,1.4448040290076418,1.138630986213684,1.0634719133377075,5.69315493106842,3.1904157400131226,False
780.737825,211,2,779.9689555,911.7994999999155,1.4448040290076418,1.1383261680603027,1.059748888015747,5.691630840301514,3.179246664047241,False
780.804846,212,2,779.9689555,911.7994999999155,1.4448040290076418,1.1379162073135376,1.060274600982666,5.689581036567688,3.180823802947998,False
780.871866,213,2,779.9689555,911.7994999999155,1.4448040290076418,1.1387441158294678,1.0585612058639526,5.693720579147339,3.175683617591858,False
780.871866,213,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.130000114440918,0.9903419613838196,5.65000057220459,2.9710258841514587,False
780.938887,214,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.1290497779846191,0.9891378879547119,5.645248889923096,2.9674136638641357,False
780.972398,215,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.1295089721679688,0.990273654460907,5.647544860839844,2.970820963382721,False
781.039418,216,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.1276482343673706,0.9909909963607788,5.638241171836853,2.9729729890823364,False
781.106439,217,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.1255289316177368,0.9908984303474426,5.627644658088684,2.972695291042328,False
781.17346,218,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.125653624534607,0.9899653792381287,5.628268122673035,2.969896137714386,False
781.240481,219,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.1263231039047241,0.9911898374557495,5.631615519523621,2.9735695123672485,False
781.307502,220,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.1284382343292236,0.9928390979766846,5.642191171646118,2.9785172939300537,False
781.341012,221,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.128544569015503,0.9924917817115784,5.642722845077515,2.977475345134735,False
781.408033,222,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.1286020278930664,0.993251621723175,5.643010139465332,2.979754865169525,False
781.475054,223,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.1290905475616455,0.9947266578674316,5.6454527378082275,2.984179973602295,False
781.542074,224,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.1289571523666382,0.9953691959381104,5.644785761833191,2.986107587814331,False
781.609095,225,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.1302554607391357,0.9946750402450562,5.651277303695679,2.9840251207351685,False
781.676116,226,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.1296321153640747,0.992813229560852,5.6481605768203735,2.978439688682556,False
781.743137,227,3,780.8847894999999,2134.2575000001034,1.1137884168598022,1.128981351852417,0.9927069544792175,5.644906759262085,2.9781208634376526,False
