world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence
767.73579,0,767.3207585,-0.11264854669570923,1.0243101119995117,-0.5632427334785461,3.072930335998535,False,0.9326949379435697
767.73579,0,767.324793,-0.11240970343351364,1.0258020162582397,-0.5620485171675682,3.0774060487747192,False,0.9336866021147281
767.73579,0,767.3288275,-0.11159873008728027,1.0236097574234009,-0.5579936504364014,3.0708292722702026,False,0.9800186596744428
767.73579,0,767.3328625,-0.11120536178350449,1.0237675905227661,-0.5560268089175224,3.0713027715682983,False,0.980039295590595
767.73579,0,767.336897,-0.11196113377809525,1.0266474485397339,-0.5598056688904762,3.0799423456192017,False,0.975019728108788
767.73579,0,767.3409315,-0.11272010952234268,1.0275800228118896,-0.5636005476117134,3.082740068435669,False,0.9750201863321319
767.73579,0,767.344966,-0.11244893074035645,1.0270304679870605,-0.5622446537017822,3.0810914039611816,False,0.9901129390745684
767.73579,0,767.3490005,-0.11149687319993973,1.026166558265686,-0.5574843659996986,3.078499674797058,False,0.9684425639528218
767.73579,0,767.353035,-0.11165212094783783,1.026885747909546,-0.5582606047391891,3.0806572437286377,False,0.9775147115450276
767.73579,0,767.3570695,-0.11194872856140137,1.025480031967163,-0.5597436428070068,3.0764400959014893,False,0.9992009482712154
767.73579,0,767.361104,-0.11207961291074753,1.0248996019363403,-0.5603980645537376,3.074698805809021,False,0.9809482428018899
767.73579,0,767.3651385000001,-0.11290572583675385,1.0236929655075073,-0.5645286291837692,3.071078896522522,False,0.9809409568354353
767.73579,0,767.369173,-0.11208847165107727,1.0213212966918945,-0.5604423582553864,3.0639638900756836,False,0.9692564652791096
767.73579,0,767.3732075,-0.10978125035762787,1.0249656438827515,-0.5489062517881393,3.0748969316482544,False,0.9692736359895728
767.73579,0,767.377242,-0.10974700003862381,1.0255130529403687,-0.548735000193119,3.076539158821106,False,0.9743691299514572
767.73579,0,767.3812765,-0.11247468739748001,1.024304986000061,-0.5623734369874,3.072914958000183,False,0.9743389967863574
767.73579,0,767.385311,-0.11341715604066849,1.026991844177246,-0.5670857802033424,3.0809755325317383,False,0.9997229860913548
767.73579,0,767.3893455,-0.11423663794994354,1.0253182649612427,-0.5711831897497177,3.075954794883728,False,0.9997368523135584
767.73579,0,767.39338,-0.11351456493139267,1.0228511095046997,-0.5675728246569633,3.068553328514099,False,0.9459911544016995
767.73579,0,767.3974145,-0.11145759373903275,1.0207782983779907,-0.5572879686951637,3.062334895133972,False,0.9459767360767459
767.73579,0,767.401449,-0.11143986135721207,1.0211838483810425,-0.5571993067860603,3.0635515451431274,False,0.9691294657560623
767.73579,0,767.4054835,-0.11119409650564194,1.0222668647766113,-0.5559704825282097,3.066800594329834,False,0.9691584836099938
767.73579,0,767.409518,-0.11147984862327576,1.0226964950561523,-0.5573992431163788,3.068089485168457,False,0.9877506925786903
767.73579,0,767.4135525,-0.11211014539003372,1.0209133625030518,-0.5605507269501686,3.0627400875091553,False,0.9877364031228909
767.73579,0,767.417587,-0.11160805821418762,1.0190166234970093,-0.5580402910709381,3.057049870491028,False,0.9996746608798042
767.73579,0,767.4216215,-0.11245022714138031,1.0183486938476562,-0.5622511357069016,3.0550460815429688,False,0.9996600874494455
767.73579,0,767.425656,-0.11247310042381287,1.0183696746826172,-0.5623655021190643,3.0551090240478516,False,0.9874898149305799
767.73579,0,767.4296905,-0.11407699435949326,1.01823091506958,-0.5703849717974663,3.0546927452087402,False,0.9874932553968502
767.73579,0,767.433725,-0.11396121233701706,1.0180426836013794,-0.5698060616850853,3.054128050804138,False,0.9907966415884539
767.73579,0,767.4377595,-0.11115594953298569,1.0168159008026123,-0.5557797476649284,3.050447702407837,False,0.9908313841428679
767.73579,0,767.441794,-0.11095234751701355,1.016717553138733,-0.5547617375850677,3.0501526594161987,False,0.9595282572381044
767.73579,0,767.4458285000001,-0.10910653322935104,1.0179692506790161,-0.5455326661467552,3.0539077520370483,False,0.9595192148234953
767.73579,0,767.449863,-0.10925974696874619,1.0188156366348267,-0.5462987348437309,3.05644690990448,False,0.9996512138077098
767.73579,0,767.4538975,-0.11230289191007614,1.018385410308838,-0.5615144595503807,3.0551562309265137,False,0.999642410590597
767.73579,0,767.457932,-0.11253838241100311,1.018262267112732,-0.5626919120550156,3.054786801338196,False,0.9313423204293504
767.73579,0,767.4619665,-0.11334628611803055,1.0183846950531006,-0.5667314305901527,3.0551540851593018,False,0.9313404553776914
767.73579,0,767.466001,-0.11268742382526398,1.0175691843032837,-0.5634371191263199,3.052707552909851,False,0.9160515141746184
767.73579,0,767.4700355,-0.11132687330245972,1.019360065460205,-0.5566343665122986,3.0580801963806152,False,0.9160827142321681
767.73579,0,767.47407,-0.11197058856487274,1.0180140733718872,-0.5598529428243637,3.0540422201156616,False,0.9857644416048739
767.73579,0,767.4781045,-0.11062455922365189,1.0173792839050293,-0.5531227961182594,3.052137851715088,False,0.9857519920899817
767.73579,0,767.482139,-0.11124055832624435,1.0192872285842896,-0.5562027916312218,3.0578616857528687,False,0.9827217614824757
767.73579,0,767.4861735,-0.10961823910474777,1.0179402828216553,-0.5480911955237389,3.053820848464966,False,0.9827060144505122
767.73579,0,767.4902079999999,-0.10998629778623581,1.0204380750656128,-0.549931488931179,3.0613142251968384,False,0.9982285661421816
767.73579,0,767.4942424999999,-0.11311589926481247,1.0203243494033813,-0.5655794963240623,3.060973048210144,False,0.9982391097201184
767.73579,0,767.498277,-0.11215941607952118,1.0191341638565063,-0.5607970803976059,3.057402491569519,False,0.9651513951067345
