id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,189416.56448799997,0.1520600000221748,189416.716548,33,35,37,0.40775091015680764,0.5212255224297163 0.5374472230888371 0.6035996108598907 0.6160773407793426 0.6562360335446936 0.6622807819154527 0.6714891629206781 0.6017547202835154 0.5409240166034495 0.47042778296605203 0.41095983150934634 0.34695853453385167 0.2723581673793755 0.20387077484787464 0.13362580259122803 0.057784322759956305 0.044323476989749505 -0.028179071578165262 -0.040633235690333995 -0.11777027574565048 -0.1540711437895804 -0.24122086289886221 -0.2368401307014393 -0.3296293188008074 -0.38045613439214965 -0.4605992843163126 -0.5051435803045338 -0.5785864742081462 -0.5864545162662951 -0.5965260720468466 -0.5922922936599705 -0.572910890312826 -0.558043855480959 -0.5328306991355733,189416.56448799997 189416.56864699998 189416.57239599997 189416.576523 189416.58006399998 189416.584989 189416.588084 189416.593741 189416.596443 189416.60058 189416.60441099998 189416.60848499998 189416.612324 189416.61643199998 189416.621216 189416.62491999997 189416.62807399998 189416.63256499998 189416.636121 189416.641836 189416.64409299998 189416.648628 189416.652053 189416.65657599998 189416.66019099997 189416.682466 189416.68257799998 189416.688599 189416.688599 189416.69535199998 189416.70006799998 189416.700506 189416.708712 189416.70872
2,189419.06886399997,0.14355600002454594,189419.21242,108,110,112,0.39592727343286055,0.5078594243456178 0.5326231861376092 0.5226603166909399 0.5325221955329115 0.5082148126516053 0.4325076621093874 0.34762551388731655 0.3479305766657688 0.27140338138949915 0.19977657132224166 0.11416352906210395 0.039075549842142135 -0.0077902554708678415 -0.029905818302232365 -0.11323100681922708 -0.18508894987033017 -0.26991666494240923 -0.3437386155922788 -0.4234006466139498 -0.44826787876748975 -0.46303825212644084 -0.48242062739609815 -0.5125909206420128 -0.5802208816419853 -0.6146910014084451 -0.6062497589298199 -0.6061548987423446 -0.592263171853184 -0.5729481974507243 -0.5242994478780808 -0.5411657623336151,189419.06886399997 189419.07259999998 189419.077505 189419.08059199998 189419.084285 189419.08883899997 189419.09218799998 189419.09658399998 189419.100201 189419.10499599998 189419.10820699998 189419.11315699999 189419.11619399997 189419.13735399998 189419.13850099998 189419.14708 189419.148738 189419.152764 189419.156474 189419.160579 189419.166382 189419.169748 189419.17393 189419.17734499997 189419.18437499998 189419.191271 189419.19271499998 189419.196901 189419.200723 189419.20770499998 189419.20858799998
3,189420.07508699998,0.14634800000931136,189420.22143499998,138,140,142,0.4438390122983523,0.5357626199091071 0.585864303244711 0.6214201957651915 0.6852822045141905 0.7153661948415925 0.7638072927737538 0.7169109773465357 0.7177151431089215 0.6730547937099263 0.6685146624174356 0.5882933305262584 0.5077215315244265 0.4603312721180096 0.4653065664638444 0.3769533894277134 0.3577288441976772 0.3563323214278218 0.293512913094002 0.2666445616782663 0.20773041511671284 0.13436198382729803 0.06850337208924984 -0.008505469029125183 -0.09014503819187154 -0.1608526979823529 -0.24426213061008153 -0.32313140257953116 -0.4022726905674659 -0.4825497925725447 -0.5225461965753746 -0.5160857603872607 -0.5593205826420866 -0.5698967555852867,189420.07508699998 189420.076201 189420.081212 189420.08418399998 189420.088635 189420.092347 189420.09648699997 189420.1002 189420.104926 189420.10849999997 189420.11268 189420.116112 189420.12047899998 189420.124234 189420.12858299998 189420.13255399998 189420.13658599998 189420.140789 189420.154277 189420.154422 189420.160473 189420.162136 189420.16704 189420.16874599998 189420.17683399998 189420.177886 189420.187376 189420.187909 189420.193484 189420.203139 189420.20479999998 189420.21333 189420.213399
4,189423.560745,0.15136200000415556,189423.712107,243,245,247,0.46574767736669653,0.537298625250748 0.5579699767710836 0.6158056334347294 0.6396441108688968 0.6962194604324587 0.7255941900404509 0.7480418796160297 0.7466341532406526 0.7736024207928692 0.7662746748213736 0.7987288276876912 0.7504196489437297 0.7744784801129029 0.7261693013689412 0.6943535369601849 0.6052748974793599 0.5728579093691631 0.5245487306252017 0.4571420458701998 0.4088328671262383 0.3750349545746533 0.2931891835805224 0.2602154852086721 0.17562474155617183 0.14113447642402338 0.057468962233106095 -0.02385062119188105 -0.10631796598136364 -0.1746384943020079 -0.18575406689222496 -0.21027424581608523 -0.24278183708837894 -0.2580118606440422 -0.3294628161081382 -0.36564191694179166 -0.440811210847763 -0.4725598523640385,189423.560745 189423.56920799997 189423.569318 189423.576064 189423.576167 189423.58138699998 189423.584151 189423.58893899998 189423.592221 189423.596417 189423.60060099998 189423.60466999997 189423.6082 189423.61308399998 189423.616391 189423.62043399998 189423.62407199998 189423.62836799998 189423.633756 189423.6376 189423.640666 189423.644886 189423.648506 189423.656952 189423.65696499997 189423.663336 189423.66426 189423.672857 189423.673414 189423.67867199998 189423.684724 189423.684907 189423.69260799998 189423.694413 189423.69890999998 189423.701029 189423.704588
5,189425.14000599997,0.1431950000114739,189425.28320099998,290,292,294,0.3786611717700563,0.5005931868476223 0.500799553417168 0.5169888397611683 0.520095174296059 0.49885781219007835 0.5376287274196179 0.5648584537953484 0.5467037194081252 0.5846017604485907 0.5774144380186019 0.5772778328249472 0.5092718816944994 0.4431185384281444 0.36727401501670226 0.29569022453705146 0.2154256654224387 0.1533803414585363 0.151049369236094 0.06968788885491625 0.04890249666036184 -0.027137550142103718 -0.10954048491678811 -0.18746650330458714 -0.26190525836763034 -0.28531691880279275 -0.29915286082985676 -0.30941507234512955 -0.3035080539740486 -0.3849864544808836 -0.42481219241974333 -0.4160512907537827 -0.4917459904682401 -0.5159844755373307 -0.5348993379855348 -0.5215986478874494,189425.14000599997 189425.14077199998 189425.144787 189425.14987499997 189425.152113 189425.15767 189425.160174 189425.166172 189425.168074 189425.17569499998 189425.177037 189425.18409499998 189425.190782 189425.192121 189425.196771 189425.20141699997 189425.20906099997 189425.20906099997 189425.21444399998 189425.220427 189425.22439199997 189425.226305 189425.229612 189425.23210599998 189425.236649 189425.24077099998 189425.24558599998 189425.248127 189425.253137 189425.257002 189425.26049199997 189425.265839 189425.26864 189425.27226499998 189425.27709199997
6,189427.14470499998,0.14960400000563823,189427.294309,350,352,355,0.5034998237995431,0.5181571402062644 0.5520358098528916 0.6085994314107446 0.6358881366652671 0.6926665163497523 0.6949476154120213 0.7216710474814302 0.7118892448178967 0.728632820135169 0.7167626616678532 0.7310704255092701 0.6449332309448932 0.562375102376032 0.4739418073195922 0.3855372203939935 0.3590696696368869 0.269029318179245 0.18082510076144054 0.09442208099917104 0.012885348565096358 -0.06461610046700984 -0.1612344579549326 -0.24006049208158287 -0.2666627991837632 -0.3560659021230186 -0.4409580074881637 -0.527066128231367 -0.6081904713893332 -0.6343896565918887 -0.6464513601785759 -0.649950588692805 -0.6578313420579207 -0.6742637696116598 -0.6710915816221991 -0.6421540247288459 -0.589667245695572,189427.14470499998 189427.149129 189427.15217999998 189427.15695399998 189427.160095 189427.167162 189427.16803799997 189427.17541899998 189427.176296 189427.181002 189427.184224 189427.19133399997 189427.19208699997 189427.20318299998 189427.2032 189427.208953 189427.211097 189427.21610899997 189427.223233 189427.22427699997 189427.228556 189427.23202599998 189427.23635899997 189427.240072 189427.24469999998 189427.24900699998 189427.252507 189427.256504 189427.260785 189427.267558 189427.26874799997 189427.274045 189427.27651599998 189427.28281799998 189427.285485 189427.28887999998
7,189429.276514,0.140002000000095,189429.416516,414,416,418,0.4428784992488814,0.5107259856856007 0.49753010176283263 0.5303101483870946 0.5687156180373263 0.5620340352593538 0.5766025123509356 0.5018038752694762 0.416492472824222 0.3377950551549718 0.24867906231864162 0.24197704892357214 0.1747247999660349 0.12841932646006046 0.05105983150441704 -0.04127645919600702 -0.11965701051116724 -0.21627536799908992 -0.2872306548543728 -0.32036546041029895 -0.39652438248594835 -0.4885407085425346 -0.4914570409098374 -0.4899873669376384 -0.5564084939114401 -0.549343247068632 -0.6201439880063119 -0.708722865248027 -0.7091717659683746 -0.729204276172966 -0.6736383278709228 -0.6437083766776707 -0.5870913556928922 -0.5491411762657499 -0.5331107758275472,189429.276514 189429.28028399998 189429.28604799998 189429.289093 189429.29515999998 189429.29701399998 189429.30099199997 189429.304197 189429.308508 189429.312021 189429.32002999997 189429.32069999998 189429.33097699998 189429.331005 189429.341715 189429.34177099998 189429.34885699998 189429.35020299998 189429.35842099998 189429.361851 189429.36364599998 189429.367389 189429.37031099998 189429.37492399997 189429.37962899997 189429.384758 189429.386048 189429.391912 189429.39276599998 189429.396599 189429.402377 189429.407075 189429.408379 189429.412452
8,189431.50050899998,0.14853400000720285,189431.64904299998,481,483,485,0.46545535065591076,0.5419388958652338 0.5594243445689076 0.5752243659811204 0.5704321141534759 0.6171807857081885 0.6205696049484758 0.6221641652539183 0.6238036176762326 0.6527535734874798 0.6416703997507922 0.6362382209270626 0.5636619382461641 0.48793675657903895 0.408348868552456 0.34071601658323925 0.25341133691534706 0.22132265713703964 0.13751346162776026 0.05352246043411023 -0.03923539059525362 -0.11167550113817756 -0.18920169905539708 -0.2622767343993966 -0.35148313625199046 -0.42286377567375755 -0.4432774520023041 -0.46008483981268583 -0.543276358435006 -0.5644899596939389 -0.56629019705966 -0.5806190025581459 -0.6149866001795659 -0.6101831030059712 -0.6256894866879592 -0.5955309560011707 -0.5714249314571506 -0.5414252658651226,189431.50050899998 189431.504975 189431.510725 189431.512678 189431.52117899997 189431.523544 189431.526434 189431.529613 189431.53361599997 189431.536612 189431.542642 189431.547046 189431.548907 189431.552654 189431.556031 189431.56058599998 189431.56413999997 189431.56980899998 189431.57265999998 189431.57655 189431.58045799998 189431.584491 189431.588127 189431.59289099998 189431.596183 189431.600488 189431.604137 189431.608377 189431.612107 189431.61654599998 189431.620561 189431.624426 189431.62811 189431.632659 189431.636355 189431.641025 189431.64469999998
9,189435.35612799998,0.12061300000641495,189435.476741,596,598,600,0.3698841874485346,0.5181101218487546 0.5315556238190964 0.5374721810752311 0.5350069864225974 0.5310169075287606 0.5174938770643014 0.510842895598419 0.43607148326959755 0.4264875124898921 0.42169177899117855 0.3975120345819047 0.31230011430439686 0.23678719427950662 0.15079721454937048 0.1202261200878712 0.03447110935401335 -0.03770631459308597 -0.11804235896910907 -0.1310653826698633 -0.21925856315030434 -0.2932560394009574 -0.3813190456407702 -0.3886255203426194 -0.4745927293707805 -0.4873211197376064 -0.49191276805476486 -0.4898333898460646 -0.49641536951933035 -0.4994496794473555,189435.35612799998 189435.36076399998 189435.36516199997 189435.368906 189435.37270399998 189435.376685 189435.380622 189435.38457199998 189435.388282 189435.39337399998 189435.39608099998 189435.40058199997 189435.40577699998 189435.41260699998 189435.41614 189435.42114599998 189435.424137 189435.429056 189435.43534899998 189435.436601 189435.443286 189435.44565299997 189435.44859199997 189435.452784 189435.45605799998 189435.46064099998 189435.464239 189435.47047099998 189435.47238999998
10,189438.152893,0.15790299998479895,189438.31079599998,680,682,685,0.4486916242100858,0.522706373449299 0.5690796019693101 0.5788848508368526 0.6310475274545717 0.6269442006965975 0.6308421489956949 0.6367275170743018 0.6758296594131441 0.6033165259817418 0.6030540966718211 0.5220294861938761 0.45835493837187286 0.37752412073463665 0.31270163928438527 0.23853623918474604 0.1776898338559862 0.09390144814225239 0.06305277220379288 -0.023290236911048513 -0.10137974767206986 -0.13808446977692718 -0.21057559556098565 -0.29710927907062795 -0.3691962968809152 -0.4569132132139892 -0.4717777386197827 -0.5530770286087935 -0.5574440987246255 -0.5659941380518011 -0.5738925072899812 -0.6515304701405019 -0.6199238086157524 -0.6122388190174035 -0.5680896269583059 -0.5500855602560576 -0.5100728556786347,189438.152893 189438.157147 189438.160966 189438.16417799998 189438.17265899997 189438.173552 189438.17712699997 189438.18021 189438.18894999998 189438.18895399998 189438.19373199999 189438.19610899998 189438.20065599997 189438.20478899998 189438.21262099998 189438.216487 189438.220936 189438.224139 189438.23398299998 189438.23400199998 189438.239732 189438.240948 189438.246372 189438.248355 189438.255668 189438.257078 189438.26262899998 189438.26439 189438.27357699999 189438.27514399998 189438.280076 189438.28042099997 189438.294431 189438.2969 189438.302726 189438.304645
