key,value
Player Software Version,2.3.0
Data Format Version,2.0
Export Date,30.09.2020
Export Time,09:52:05
Frame Index Range:,0 - 1624
Relative Time Range,00:00.000 - 01:40.966
Absolute Time Range,767.73579 - 868.702625
