Time_stamp,Electrodermal_activity
1603462689.0,0.5455840000000001
1603462689.25,0.544304
1603462689.5,0.5455840000000001
1603462689.75,0.5468649999999999
1603462690.0,0.5468649999999999
1603462690.25,0.544304
1603462690.5,0.544304
1603462690.75,0.5468649999999999
1603462691.0,0.5455840000000001
1603462691.25,0.5468649999999999
1603462691.5,0.544304
1603462691.75,0.5455840000000001
1603462692.0,0.5468649999999999
1603462692.25,0.544304
1603462692.5,0.5468649999999999
1603462692.75,0.5468649999999999
1603462693.0,0.5468649999999999
1603462693.25,0.5455840000000001
1603462693.5,0.5468649999999999
1603462693.75,0.548146
1603462694.0,0.548146
1603462694.25,0.5468649999999999
1603462694.5,0.5468649999999999
1603462694.75,0.550707
1603462695.0,0.549426
1603462695.25,0.549426
1603462695.5,0.548146
1603462695.75,0.548146
1603462696.0,0.549426
1603462696.25,0.549426
1603462696.5,0.550707
1603462696.75,0.549426
1603462697.0,0.548146
1603462697.25,0.549426
1603462697.5,0.551988
1603462697.75,0.549426
1603462698.0,0.551988
1603462698.25,0.549426
1603462698.5,0.549426
1603462698.75,0.549426
1603462699.0,0.549426
1603462699.25,0.551988
1603462699.5,0.549426
1603462699.75,0.550707
1603462700.0,0.549426
1603462700.25,0.550707
1603462700.5,0.548146
1603462700.75,0.550707
1603462701.0,0.549426
1603462701.25,0.549426
1603462701.5,0.550707
1603462701.75,0.550707
1603462702.0,0.550707
1603462702.25,0.549426
1603462702.5,0.549426
1603462702.75,0.550707
1603462703.0,0.550707
1603462703.25,0.550707
1603462703.5,0.550707
1603462703.75,0.550707
1603462704.0,0.549426
1603462704.25,0.550707
1603462704.5,0.549426
1603462704.75,0.550707
1603462705.0,0.548146
1603462705.25,0.548146
1603462705.5,0.549426
1603462705.75,0.550707
1603462706.0,0.550707
1603462706.25,0.548146
1603462706.5,0.549426
1603462706.75,0.549426
1603462707.0,0.549426
1603462707.25,0.550707
1603462707.5,0.549426
1603462707.75,0.548146
1603462708.0,0.549426
1603462708.25,0.549426
1603462708.5,0.549426
1603462708.75,0.550707
1603462709.0,0.550707
1603462709.25,0.548146
1603462709.5,0.550707
1603462709.75,0.550707
1603462710.0,0.551988
1603462710.25,0.548146
1603462710.5,0.548146
1603462710.75,0.549426
1603462711.0,0.549426
1603462732.0,0.549426
1603462732.25,0.551988
1603462732.5,0.551988
1603462732.75,0.553268
1603462733.0,0.551988
1603462733.25,0.550707
1603462733.5,0.551988
1603462733.75,0.553268
1603462734.0,0.554549
1603462734.25,0.553268
1603462734.5,0.553268
1603462734.75,0.550707
1603462735.0,0.551988
1603462735.25,0.553268
1603462735.5,0.553268
1603462735.75,0.551988
1603462736.0,0.551988
1603462736.25,0.549426
1603462736.5,0.553268
1603462736.75,0.553268
1603462737.0,0.553268
1603462737.25,0.551988
1603462737.5,0.553268
1603462737.75,0.553268
1603462738.0,0.553268
1603462738.25,0.562234
1603462738.5,0.553268
1603462738.75,0.553268
1603462739.0,0.550707
1603462739.25,0.554549
1603462739.5,0.553268
1603462739.75,0.553268
1603462740.0,0.551988
1603462740.25,0.551988
1603462740.5,0.553268
1603462740.75,0.554549
1603462741.0,0.554549
1603462741.25,0.553268
1603462741.5,0.553268
1603462741.75,0.550707
1603462742.0,0.553268
1603462742.25,0.554549
1603462742.5,0.554549
1603462742.75,0.551988
1603462743.0,0.551988
1603462743.25,0.553268
1603462743.5,0.553268
1603462743.75,0.554549
1603462744.0,0.551988
1603462744.25,0.551988
1603462744.5,0.551988
1603462744.75,0.554549
1603462745.0,0.553268
1603462745.25,0.554549
1603462745.5,0.551988
1603462745.75,0.553268
1603462746.0,0.554549
1603462746.25,0.554549
1603462746.5,0.554549
1603462746.75,0.551988
1603462747.0,0.551988
1603462747.25,0.551988
1603462747.5,0.554549
1603462747.75,0.554549
1603462748.0,0.554549
1603462748.25,0.551988
1603462748.5,0.553268
1603462748.75,0.553268
1603462749.0,0.554549
1603462749.25,0.554549
1603462749.5,0.553268
1603462749.75,0.551988
1603462750.0,0.550707
1603462750.25,0.553268
1603462750.5,0.554549
1603462750.75,0.553268
1603462751.0,0.553268
1603462751.25,0.551988
1603462751.5,0.554549
1603462751.75,0.553268
1603462752.0,0.554549
1603462752.25,0.551988
1603462752.5,0.554549
1603462752.75,0.55583
1603462753.0,0.554549
1603462753.25,0.554549
1603462753.5,0.554549
1603462753.75,0.553268
1603462754.0,0.553268
1603462754.25,0.553268
1603462754.5,0.554549
1603462754.75,0.55583
1603462755.0,0.553268
1603462755.25,0.553268
1603462755.5,0.551988
1603462755.75,0.554549
1603462756.0,0.554549
1603462756.25,0.554549
1603462756.5,0.554549
1603462756.75,0.551988
1603462757.0,0.55583
1603462757.25,0.55583
1603462757.5,0.55583
1603462757.75,0.553268
1603462758.0,0.554549
1603462758.25,0.553268
1603462758.5,0.55583
1603462758.75,0.55583
1603462759.0,0.55583
1603462811.0,0.5596720000000001
1603462811.25,0.5609529999999999
1603462811.5,0.5596720000000001
1603462811.75,0.5609529999999999
1603462812.0,0.558391
1603462812.25,0.558391
1603462812.5,0.558391
1603462812.75,0.5596720000000001
1603462813.0,0.5596720000000001
1603462813.25,0.5596720000000001
1603462813.5,0.558391
1603462813.75,0.558391
1603462814.0,0.5609529999999999
1603462814.25,0.5609529999999999
1603462814.5,0.5609529999999999
1603462814.75,0.5596720000000001
1603462815.0,0.558391
1603462815.25,0.558391
1603462815.5,0.5609529999999999
1603462815.75,0.5609529999999999
1603462816.0,0.5609529999999999
1603462816.25,0.558391
1603462816.5,0.5596720000000001
1603462816.75,0.5596720000000001
1603462817.0,0.5609529999999999
1603462817.25,0.5596720000000001
1603462817.5,0.5596720000000001
1603462817.75,0.558391
1603462818.0,0.558391
1603462818.25,0.5596720000000001
1603462818.5,0.5609529999999999
1603462818.75,0.5609529999999999
1603462819.0,0.5609529999999999
1603462819.25,0.5596720000000001
1603462819.5,0.5596720000000001
1603462819.75,0.5609529999999999
1603462820.0,0.5609529999999999
1603462820.25,0.5609529999999999
1603462820.5,0.5609529999999999
1603462820.75,0.5609529999999999
1603462821.0,0.5609529999999999
1603462821.25,0.5609529999999999
1603462821.5,0.5596720000000001
1603462821.75,0.5596720000000001
1603462822.0,0.558391
1603462822.25,0.558391
1603462822.5,0.5609529999999999
1603462822.75,0.5596720000000001
1603462823.0,0.5609529999999999
1603462823.25,0.558391
1603462823.5,0.558391
1603462823.75,0.5609529999999999
1603462824.0,0.5609529999999999
1603462824.25,0.5596720000000001
1603462824.5,0.558391
1603462824.75,0.558391
1603462825.0,0.5596720000000001
1603462825.25,0.5609529999999999
1603462825.5,0.5609529999999999
1603462825.75,0.5596720000000001
1603462826.0,0.558391
1603462826.25,0.5596720000000001
1603462826.5,0.5609529999999999
1603462826.75,0.5609529999999999
1603462827.0,0.5596720000000001
1603462827.25,0.558391
1603462827.5,0.5596720000000001
1603462827.75,0.5609529999999999
1603462828.0,0.5609529999999999
1603462828.25,0.5609529999999999
1603462828.5,0.5596720000000001
1603462828.75,0.5596720000000001
1603462829.0,0.5596720000000001
1603462829.25,0.5609529999999999
1603462829.5,0.5609529999999999
1603462829.75,0.5596720000000001
1603462830.0,0.5596720000000001
1603462830.25,0.5596720000000001
1603462830.5,0.5596720000000001
1603462830.75,0.5609529999999999
1603462831.0,0.5609529999999999
1603462831.25,0.5609529999999999
1603462831.5,0.562234
1603462831.75,0.5609529999999999
1603462832.0,0.5609529999999999
1603462832.25,0.562234
1603462832.5,0.5609529999999999
1603462832.75,0.5596720000000001
1603462833.0,0.5635140000000001
1603462833.25,0.562234
1603462833.5,0.562234
1603462833.75,0.5596720000000001
1603462834.0,0.5596720000000001
1603462834.25,0.5609529999999999
1603462834.5,0.562234
1603462834.75,0.562234
1603462835.0,0.5596720000000001
1603462835.25,0.5596720000000001
1603462835.5,0.5609529999999999
1603462835.75,0.562234
1603462836.0,0.562234
1603462836.25,0.5596720000000001
1603462836.5,0.5596720000000001
1603462836.75,0.5596720000000001
1603462837.0,0.562234
1603462837.25,0.562234
1603462837.5,0.562234
1603462837.75,0.5596720000000001
1603462838.0,0.558391
1603462838.25,0.5609529999999999
1603462838.5,0.5609529999999999
1603462838.75,0.5609529999999999
1603462839.0,0.5596720000000001
1603462839.25,0.5596720000000001
1603462839.5,0.5609529999999999
1603462839.75,0.562234
1603462840.0,0.5609529999999999
1603462840.25,0.558391
1603462840.5,0.5596720000000001
1603462840.75,0.5596720000000001
1603462841.0,0.562234
1603462841.25,0.562234
1603462841.5,0.562234
1603462841.75,0.5596720000000001
1603462842.0,0.5596720000000001
