EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
0.0,4.409490968554364e-06,-0.0019595196247121608,0.0019639291156789973,0,0,0,0,0,0,0
0.507163,0.49392048428798063,0.013371928811116747,0.48054855547686237,0,0,0,0,0,0,0
0.551988,0.5724156378012757,0.02867931694835834,0.5437363208529159,0,1,0,-9223372036854775808,-9223372036854775808,0,0
0.566076,0.546654177447424,0.0439409159416084,0.5027132615058145,0,0,0,0,0,0,0
0.55583,0.5684530914772163,0.05913614302266978,0.5093169484545457,0,0,0,0,0,0,0
0.554549,0.5500373067463009,0.07424563259727539,0.475791674149025,0,0,0,0,0,0,0
0.553268,0.5519814275477446,0.08925120524705792,0.4627302223006864,0,0,0,0,0,0,0
0.5571109999999999,0.5605780841751865,0.1041358269390801,0.4564422572361061,0,0,0,0,0,0,0
0.55583,0.5530263890115483,0.11888357135477107,0.4341428176567773,0,0,0,0,0,0,0
0.554549,0.5555394896144035,0.133479586462756,0.4220599031516476,0,0,0,0,0,0,0
0.551988,0.5524911515029745,0.14791005915236577,0.4045810923506092,0,0,0,0,0,0,0
0.551988,0.550961270990852,0.16216217750858644,0.38879909348226643,0,0,0,0,0,0,0
0.553268,0.5539942200692067,0.1762240936847564,0.3777701263844514,0,0,0,0,0,0,0
0.551988,0.5518355753126194,0.19008488868403728,0.36175068662858345,0,0,0,0,0,0,0
0.551988,0.5518098222390828,0.20373453896879298,0.34807528327029136,0,0,0,0,0,0,0
0.551988,0.5520356876758933,0.21716388316130278,0.3348718045145922,0,0,0,0,0,0,0
0.551988,0.5524210057909824,0.23036458891268882,0.32205641687829534,0,0,0,0,0,0,0
0.554549,0.5535855061936678,0.24332912122697103,0.3102563849666985,0,0,0,0,0,0,0
0.550707,0.551955113619198,0.2560507119851822,0.29590440163401766,0,0,0,0,0,0,0
0.551988,0.5508472392212089,0.268523329273201,0.28232390994800977,0,0,0,0,0,0,0
0.549426,0.550111412099995,0.28074164564632,0.26936976645367694,0,0,0,0,0,0,0
0.549426,0.5493656720597413,0.29270100612478583,0.2566646659349574,0,0,0,0,0,0,0
0.550707,0.550183957139005,0.304397397247458,0.24578655989154907,0,0,0,0,0,0,0
0.549426,0.5503347205848319,0.3158274178621089,0.23450730272272519,0,0,0,0,0,0,0
0.550707,0.5496693578297516,0.32698825146721633,0.2226811063625374,0,0,0,0,0,0,0
0.548146,0.5490862048040417,0.33787763904688345,0.21120856575716057,0,0,0,0,0,0,0
0.549426,0.5487263580701097,0.34849385173501735,0.20023250633509476,0,0,0,0,0,0,0
0.548146,0.5485545702957854,0.35883566377416537,0.18971890652162232,0,0,0,0,0,0,0
0.548146,0.5480105581255503,0.36890232630703335,0.1791082318185192,0,0,0,0,0,0,0
0.548146,0.5480578790108945,0.3786935419997173,0.1693643370111793,0,0,0,0,0,0,0
0.548146,0.5484032746605525,0.38820944052810935,0.1601938341324451,0,0,0,0,0,0,0
0.548146,0.5477735478025598,0.397450555085661,0.15032299271690072,0,0,0,0,0,0,0
0.5468649999999999,0.5472894752166088,0.4064177995497221,0.1408716756668883,0,0,0,0,0,0,0
0.548146,0.5477496506988642,0.4151124459234803,0.1326372047753855,0,0,0,0,0,0,0
0.548146,0.5484232665623965,0.4235361026167778,0.12488716394562027,0,0,0,0,0,0,0
0.548146,0.5480676256907532,0.4316906941331937,0.11637693155756104,0,0,0,0,0,0,0
0.5468649999999999,0.5467067573555888,0.4395784414135857,0.10712831594200478,0,0,0,0,0,0,0
0.5468649999999999,0.547230465334568,0.4472018418508041,0.10002862348376584,0,0,0,0,0,0,0
0.550707,0.5502318594935087,0.45456364995105036,0.09566820954246066,0,0,0,0,0,0,0
0.551988,0.5524367125144107,0.4616668609098189,0.09076985160459441,0,0,0,0,0,0,0
0.551988,0.5516913780786592,0.4685146970797289,0.08317668099893327,0,0,0,0,0,0,0
0.549426,0.5495049789743293,0.4751105941275504,0.07439438484678218,0,0,0,0,0,0,0
0.549426,0.549539569123408,0.4814581845339772,0.06808138458943427,0,0,0,0,0,0,0
0.550707,0.5505070853552236,0.4875612799933345,0.06294580536189298,0,0,0,0,0,0,0
0.549426,0.5495813528162454,0.4934238553630644,0.05615749745318524,0,0,0,0,0,0,0
0.549426,0.5493948883888655,0.4990500341177698,0.050344854271100414,0,0,0,0,0,0,0
0.549426,0.5493491213533571,0.5044440740319909,0.04490504732137143,0,0,0,0,0,0,0
0.548146,0.5482393047230316,0.5096103530229271,0.038628951700109965,0,0,0,0,0,0,0
0.549426,0.5494108013863153,0.5145533555354173,0.03485744585090381,0,0,0,0,0,0,0
0.550707,0.5506172330357759,0.5192776600751554,0.03133957296062678,0,0,0,0,0,0,0
0.549426,0.5495619598342378,0.5237879283810118,0.02577403145323298,0,0,0,0,0,0,0
0.549426,0.5493455284646063,0.5280888951269624,0.021256633337651543,0,0,0,0,0,0,0
0.549426,0.5493736733668725,0.5321853570105521,0.017188316356328864,0,0,0,0,0,0,0
0.548146,0.5483369062002408,0.5360821617347149,0.012254744465535289,0,0,0,0,0,0,0
0.548146,0.5478889806374372,0.5397841973111044,0.00810478332634329,0,0,0,0,0,0,0
0.548146,0.548345754000268,0.5432963816432888,0.005049372356990711,0,0,0,0,0,0,0
0.548146,0.5481318094870851,0.5466236529400674,0.0015081565470301261,0,0,0,0,0,0,0
0.5468649999999999,0.5466111226659193,0.5497709609863283,-0.0031598383203950975,0,0,0,0,0,0,0
