Time_stamp,temperature
1603462689.0,33.68
1603462689.25,33.68
1603462689.5,33.68
1603462689.75,33.68
1603462690.0,33.68
1603462690.25,33.68
1603462690.5,33.68
1603462690.75,33.68
1603462691.0,33.66
1603462691.25,33.66
1603462691.5,33.66
1603462691.75,33.66
1603462692.0,33.66
1603462692.25,33.66
1603462692.5,33.66
1603462692.75,33.66
1603462693.0,33.66
1603462693.25,33.66
1603462693.5,33.66
1603462693.75,33.66
1603462694.0,33.68
1603462694.25,33.68
1603462694.5,33.68
1603462694.75,33.68
1603462695.0,33.65
1603462695.25,33.65
1603462695.5,33.65
1603462695.75,33.65
1603462696.0,33.68
1603462696.25,33.68
1603462696.5,33.68
1603462696.75,33.68
1603462697.0,33.66
1603462697.25,33.66
1603462697.5,33.66
1603462697.75,33.66
1603462698.0,33.66
1603462698.25,33.66
1603462698.5,33.66
1603462698.75,33.66
1603462699.0,33.66
1603462699.25,33.66
1603462699.5,33.66
1603462699.75,33.66
1603462700.0,33.66
1603462700.25,33.66
1603462700.5,33.66
1603462700.75,33.66
1603462701.0,33.68
1603462701.25,33.68
1603462701.5,33.68
1603462701.75,33.68
1603462702.0,33.66
1603462702.25,33.66
1603462702.5,33.66
1603462702.75,33.66
1603462703.0,33.66
1603462703.25,33.66
1603462703.5,33.66
1603462703.75,33.66
1603462704.0,33.66
1603462704.25,33.66
1603462704.5,33.66
1603462704.75,33.66
1603462705.0,33.66
1603462705.25,33.66
1603462705.5,33.66
1603462705.75,33.66
1603462706.0,33.66
1603462706.25,33.66
1603462706.5,33.66
1603462706.75,33.66
1603462707.0,33.68
1603462707.25,33.68
1603462707.5,33.68
1603462707.75,33.68
1603462708.0,33.66
1603462708.25,33.66
1603462708.5,33.66
1603462708.75,33.66
1603462709.0,33.66
1603462709.25,33.66
1603462709.5,33.66
1603462709.75,33.66
1603462710.0,33.66
1603462710.25,33.66
1603462710.5,33.66
1603462710.75,33.66
1603462711.0,33.66
1603462732.0,33.68
1603462732.25,33.68
1603462732.5,33.68
1603462732.75,33.68
1603462733.0,33.68
1603462733.25,33.68
1603462733.5,33.68
1603462733.75,33.68
1603462734.0,33.68
1603462734.25,33.68
1603462734.5,33.68
1603462734.75,33.68
1603462735.0,33.68
1603462735.25,33.68
1603462735.5,33.68
1603462735.75,33.68
1603462736.0,33.66
1603462736.25,33.66
1603462736.5,33.66
1603462736.75,33.66
1603462737.0,33.68
1603462737.25,33.68
1603462737.5,33.68
1603462737.75,33.68
1603462738.0,33.68
1603462738.25,33.68
