# timestamps [seconds],pts
92327.354448,173601
92327.369024,174556
92327.378092,175150
92327.390477,175962
92327.397372,176414
92327.413795,177490
92327.419229,177846
92327.441681,179317
92327.457544,180357
92327.466726,180959
92327.478665,181741
92327.485805,182209
92327.496484,182909
92327.504414,183429
92327.514431,184085
92327.522118,184589
92327.530140,185115
92327.536283,185517
92327.544258,186040
92327.554392,186704
92327.562963,187266
92327.574738,188037
92327.579672,188361
92327.592389,189194
92327.600483,189725
92327.611449,190443
92327.616622,190782
92327.627753,191512
92327.633556,191892
92327.641478,192411
92327.648875,192896
92327.656971,193426
92327.664697,193933
92327.673321,194498
92327.693682,195832
92327.701155,196322
92327.712519,197067
92327.722520,197722
92327.735383,198565
92327.741628,198974
92327.750445,199552
92327.756744,199965
92327.762039,200312
92327.773074,201035
92327.781176,201566
92327.792405,202302
92327.797158,202614
92327.804622,203103
92327.819460,204075
92327.826678,204548
92327.834469,205059
92327.841990,205552
92327.847928,205941
92327.862199,206876
92327.868380,207281
92327.874653,207692
92327.881636,208150
92327.886625,208477
92327.893455,208924
92327.901719,209466
92327.908508,209911
92327.916188,210414
92327.927366,211147
92327.932845,211506
92327.940702,212021
92327.949468,212595
92327.956856,213079
92327.964365,213572
92327.974634,214245
92327.981564,214699
92328.002866,216095
92328.026117,217618
92328.035728,218248
92328.042423,218687
92328.049050,219121
92328.057509,219676
92328.066192,220245
92328.071291,220579
92328.079288,221103
92328.084352,221435
92328.092437,221965
92328.101018,222527
92328.108852,223041
92328.116205,223522
92328.125732,224147
92328.132312,224578
92328.142779,225264
92328.148276,225624
92328.156735,226179
92328.164511,226688
92328.172775,227230
92328.183370,227924
92328.189339,228315
92328.206944,229469
92328.213487,229898
92328.224643,230629
92328.231384,231071
92328.243963,231895
92328.249596,232264
92328.259022,232882
92328.264801,233261
92328.272267,233750
92328.280266,234274
92328.288221,234795
92328.296379,235330
92328.304383,235855
92328.312907,236413
92328.320421,236906
92328.328351,237425
92328.336938,237988
92328.344840,238506
92328.354687,239151
92328.366658,239936
92328.379081,240750
92328.384449,241102
92328.396395,241885
92328.402877,242309
92328.408838,242700
92328.418793,243352
92328.424910,243753
92328.432369,244242
92328.443009,244939
92328.448374,245291
92328.457295,245876
92328.464358,246339
92328.472520,246873
92328.480828,247418
92328.489897,248012
92328.496290,248431
92328.506987,249132
92328.512240,249477
92328.520296,250004
92328.529352,250598
92328.536176,251045
92328.544220,251572
92328.552341,252105
92328.560571,252644
92328.568207,253144
92328.576222,253670
92328.584554,254216
92328.595297,254920
92328.602255,255376
92328.608661,255795
92328.618222,256422
92328.625349,256889
92328.634928,257517
92328.646205,258256
92328.657322,258984
