key,value
Player Software Version,2.3.0
Data Format Version,2.0
Export Date,26.10.2020
Export Time,18:17:56
Frame Index Range:,0 - 7639
Relative Time Range,00:00.000 - 04:14.633
Absolute Time Range,536438.300161 - 536692.933494274
