Time_stamp,X,Y,Z
-37.0,17,27,53
-36.96875,17,27,54
-36.9375,17,27,53
-36.90625,17,27,53
-36.875,17,27,53
-36.84375,17,27,53
-36.8125,17,27,53
-36.78125,17,27,54
-36.75,17,27,53
-36.71875,17,27,54
-36.6875,17,27,53
-36.65625,17,27,53
-36.625,17,27,53
-36.59375,17,27,54
-36.5625,18,27,53
-36.53125,17,27,54
-36.5,17,27,54
-36.46875,17,27,53
-36.4375,17,27,53
-36.40625,17,27,53
-36.375,17,27,53
-36.34375,17,27,54
-36.3125,17,27,53
-36.28125,17,27,53
-36.25,17,27,54
-36.21875,17,27,53
-36.1875,17,27,53
-36.15625,17,27,53
-36.125,17,27,53
-36.09375,17,27,54
-36.0625,17,27,53
-36.03125,17,27,53
-36.0,17,27,53
-35.96875,17,27,53
-35.9375,17,27,54
-35.90625,17,27,53
-35.875,17,27,53
-35.84375,17,27,54
-35.8125,17,27,53
-35.78125,18,27,53
-35.75,17,27,54
-35.71875,17,27,54
-35.6875,18,27,53
-35.65625,17,27,53
-35.625,17,27,54
-35.59375,17,27,53
-35.5625,17,27,53
-35.53125,17,27,53
-35.5,17,27,53
-35.46875,17,27,54
-35.4375,17,27,53
-35.40625,17,27,54
-35.375,17,27,53
-35.34375,17,27,54
-35.3125,17,27,53
-35.28125,17,27,53
-35.25,17,27,53
-35.21875,17,27,53
-35.1875,17,27,53
-35.15625,17,27,53
-35.125,17,27,53
-35.09375,17,27,53
-35.0625,17,27,53
-35.03125,17,27,53
-35.0,17,27,53
-34.96875,17,27,54
-34.9375,17,27,53
-34.90625,17,27,53
-34.875,17,27,53
-34.84375,17,27,53
-34.8125,17,27,54
-34.78125,17,27,53
-34.75,17,27,53
-34.71875,17,27,53
-34.6875,17,27,54
-34.65625,17,27,53
-34.625,17,27,53
-34.59375,17,27,54
-34.5625,17,27,53
-34.53125,18,27,53
-34.5,17,27,53
-34.46875,17,27,53
-34.4375,17,27,53
-34.40625,17,27,53
-34.375,17,27,53
-34.34375,17,27,53
-34.3125,17,27,53
-34.28125,17,27,53
-34.25,17,27,54
-34.21875,17,27,53
-34.1875,17,27,54
-34.15625,17,27,54
-34.125,17,27,53
-34.09375,17,27,53
-34.0625,17,27,53
-34.03125,17,27,53
-34.0,17,27,53
-33.96875,17,27,54
-33.9375,17,27,53
-33.90625,17,27,53
-33.875,17,27,53
-33.84375,17,27,53
-33.8125,17,27,53
-33.78125,17,27,53
-33.75,17,27,53
-33.71875,17,27,53
-33.6875,17,27,53
-33.65625,17,27,54
-33.625,17,27,53
-33.59375,17,27,53
-33.5625,17,27,53
-33.53125,17,27,54
-33.5,17,27,53
-33.46875,17,27,53
-33.4375,17,27,53
-33.40625,17,27,53
-33.375,18,27,53
-33.34375,17,27,53
-33.3125,17,27,53
-33.28125,17,27,53
-33.25,17,27,53
-33.21875,17,27,53
-33.1875,17,27,53
-33.15625,17,27,53
-33.125,17,27,53
-33.09375,17,27,53
-33.0625,17,27,54
-33.03125,17,27,53
-33.0,17,27,53
-32.96875,17,27,53
-32.9375,17,27,53
-32.90625,17,27,53
-32.875,17,27,53
-32.84375,17,27,53
-32.8125,17,27,53
-32.78125,17,27,53
-32.75,17,27,53
-32.71875,17,27,53
-32.6875,17,27,53
-32.65625,17,27,53
-32.625,17,27,53
-32.59375,17,27,53
-32.5625,17,27,53
-32.53125,17,27,54
-32.5,17,27,53
-32.46875,17,27,53
-32.4375,17,27,53
-32.40625,17,27,53
-32.375,17,27,53
-32.34375,17,27,53
-32.3125,17,27,53
-32.28125,17,27,53
-32.25,17,27,53
-32.21875,17,27,53
