Time_stamp,IBI
1603462794.53125,0.921875
1603462795.421875,0.890625
1603462796.34375,0.921875
1603462797.3125,0.968750
1603462798.28125,0.968750
1603462799.203125,0.921875
1603462800.125,0.921875
1603462801.015625,0.890625
1603462801.859375,0.843750
1603462802.671875,0.812500
1603462803.4375,0.765625
1603462804.203125,0.765625
1603462805.046875,0.843750
1603462805.875,0.828125
1603462806.75,0.875000
1603462807.65625,0.906250
1603462808.578125,0.921875
1603462809.5,0.921875
1603462810.390625,0.890625
1603462811.28125,0.890625
1603462812.1875,0.906250
1603462813.0625,0.875000
1603462813.90625,0.843750
1603462814.765625,0.859375
1603462815.65625,0.890625
1603462816.5625,0.906250
1603462817.4375,0.875000
1603462818.359375,0.921875
1603462819.3125,0.953125
1603462820.265625,0.953125
1603462821.203125,0.937500
1603462822.125,0.921875
1603462823.0625,0.937500
1603462824.015625,0.953125
1603462824.984375,0.968750
1603462825.90625,0.921875
1603462826.828125,0.921875
1603462827.78125,0.953125
1603462828.78125,1.000000
1603462829.796875,1.015625
1603462830.796875,1.000000
1603462831.734375,0.937500
1603462832.65625,0.921875
1603462833.5625,0.906250
1603462834.46875,0.906250
1603462835.390625,0.921875
1603462836.34375,0.953125
1603462837.296875,0.953125
1603462838.234375,0.937500
1603462839.171875,0.937500
1603462840.125,0.953125
1603462841.015625,0.890625
1603462841.875,0.859375
1603462842.6875,0.812500
1603462843.4375,0.750000
1603462844.21875,0.781250
1603462845.0,0.781250
1603462845.875,0.875000
1603462846.78125,0.906250
1603462847.71875,0.937500
1603462848.671875,0.953125
1603462849.59375,0.921875
1603462850.546875,0.953125
1603462851.46875,0.921875
1603462852.390625,0.921875
1603462853.234375,0.843750
1603462854.109375,0.875000
1603462854.984375,0.875000
1603462855.890625,0.906250
1603462856.71875,0.828125
1603462857.609375,0.890625
1603462858.53125,0.921875
1603462859.515625,0.984375
1603462860.484375,0.968750
1603462861.453125,0.968750
1603462862.390625,0.937500
1603462863.296875,0.906250
1603462864.234375,0.937500
1603462865.1875,0.953125
1603462866.125,0.937500
1603462867.046875,0.921875
1603462867.96875,0.921875
1603462868.875,0.906250
1603462869.734375,0.859375
1603462870.609375,0.875000
1603462871.5,0.890625
1603462872.40625,0.906250
1603462873.28125,0.875000
1603462874.171875,0.890625
1603462875.03125,0.859375
1603462875.859375,0.828125
1603462876.65625,0.796875
1603462877.40625,0.750000
1603462878.140625,0.734375
1603462878.875,0.734375
1603462879.671875,0.796875
1603462880.515625,0.843750
1603462881.4375,0.921875
1603462882.3125,0.875000
1603462883.21875,0.906250
1603462884.140625,0.921875
1603462885.0625,0.921875
1603462885.984375,0.921875
1603462886.890625,0.906250
1603462887.78125,0.890625
1603462888.6875,0.906250
1603462889.609375,0.921875
1603462890.53125,0.921875
1603462891.46875,0.937500
1603462892.421875,0.953125
1603462893.421875,1.000000
1603462894.421875,1.000000
1603462895.375,0.953125
