Time_stamp,temperature
1603462567.0,33.61
1603462567.25,33.61
1603462567.5,33.61
1603462567.75,33.61
1603462568.0,33.61
1603462568.25,33.61
1603462568.5,33.61
1603462568.75,33.61
1603462569.0,33.59
1603462569.25,33.59
1603462569.5,33.59
1603462569.75,33.59
1603462570.0,33.61
1603462570.25,33.61
1603462570.5,33.61
1603462570.75,33.61
1603462571.0,33.59
1603462571.25,33.59
1603462571.5,33.59
1603462571.75,33.59
1603462572.0,33.61
1603462572.25,33.61
1603462572.5,33.61
1603462572.75,33.61
1603462573.0,33.59
1603462573.25,33.59
1603462573.5,33.59
1603462573.75,33.59
1603462574.0,33.63
1603462574.25,33.63
1603462574.5,33.63
1603462574.75,33.63
1603462575.0,33.63
1603462575.25,33.63
1603462575.5,33.63
1603462575.75,33.63
1603462576.0,33.61
1603462576.25,33.61
1603462576.5,33.61
1603462576.75,33.61
1603462577.0,33.61
1603462577.25,33.61
1603462577.5,33.61
1603462577.75,33.61
1603462578.0,33.61
1603462578.25,33.61
1603462578.5,33.61
1603462578.75,33.61
1603462579.0,33.61
1603462579.25,33.61
1603462579.5,33.61
1603462579.75,33.61
1603462580.0,33.59
1603462580.25,33.59
1603462580.5,33.59
1603462580.75,33.59
1603462581.0,33.59
1603462581.25,33.59
1603462581.5,33.59
1603462581.75,33.59
1603462582.0,33.57
1603462582.25,33.57
1603462582.5,33.57
1603462582.75,33.57
1603462583.0,33.59
1603462583.25,33.59
1603462583.5,33.59
1603462583.75,33.59
1603462584.0,33.59
1603462584.25,33.59
1603462584.5,33.59
1603462584.75,33.59
1603462585.0,33.61
1603462585.25,33.61
1603462585.5,33.61
1603462585.75,33.61
1603462586.0,33.61
1603462586.25,33.61
1603462586.5,33.61
1603462586.75,33.61
1603462587.0,33.59
1603462587.25,33.59
1603462587.5,33.59
1603462587.75,33.59
1603462588.0,33.59
1603462588.25,33.59
1603462588.5,33.59
1603462588.75,33.59
1603462589.0,33.59
1603462589.25,33.59
1603462589.5,33.59
1603462589.75,33.59
1603462590.0,33.59
1603462590.25,33.59
1603462590.5,33.59
1603462590.75,33.59
1603462591.0,33.59
1603462591.25,33.59
1603462591.5,33.59
1603462591.75,33.59
1603462592.0,33.57
1603462592.25,33.57
1603462592.5,33.57
1603462592.75,33.57
1603462593.0,33.55
1603462593.25,33.55
1603462593.5,33.55
1603462593.75,33.55
1603462594.0,33.59
1603462594.25,33.59
1603462594.5,33.59
1603462594.75,33.59
1603462595.0,33.57
1603462595.25,33.57
1603462595.5,33.57
1603462595.75,33.57
1603462596.0,33.59
1603462596.25,33.59
1603462596.5,33.59
1603462596.75,33.59
1603462597.0,33.59
1603462597.25,33.59
1603462597.5,33.59
1603462597.75,33.59
1603462598.0,33.59
1603462598.25,33.59
1603462598.5,33.59
1603462598.75,33.59
1603462599.0,33.57
1603462599.25,33.57
1603462599.5,33.57
1603462599.75,33.57
1603462600.0,33.57
1603462600.25,33.57
1603462600.5,33.57
1603462600.75,33.57
1603462601.0,33.59
1603462601.25,33.59
1603462601.5,33.59
1603462601.75,33.59
1603462602.0,33.59
1603462602.25,33.59
1603462602.5,33.59
1603462602.75,33.59
1603462603.0,33.59
1603462603.25,33.59
1603462603.5,33.59
1603462603.75,33.59
1603462604.0,33.59
1603462604.25,33.59
1603462604.5,33.59
1603462604.75,33.59
1603462605.0,33.57
1603462605.25,33.57
1603462605.5,33.57
1603462605.75,33.57
1603462606.0,33.59
1603462606.25,33.59
1603462606.5,33.59
1603462606.75,33.59
1603462607.0,33.59
1603462607.25,33.59
1603462607.5,33.59
1603462607.75,33.59
1603462608.0,33.57
1603462608.25,33.57
1603462608.5,33.57
1603462608.75,33.57
1603462609.0,33.55
1603462609.25,33.55
1603462609.5,33.55
1603462609.75,33.55
1603462610.0,33.57
1603462610.25,33.57
1603462610.5,33.57
1603462610.75,33.57
1603462611.0,33.57
1603462611.25,33.57
1603462611.5,33.57
1603462611.75,33.57
1603462612.0,33.59
1603462612.25,33.59
1603462612.5,33.59
1603462612.75,33.59
1603462613.0,33.57
1603462613.25,33.57
1603462613.5,33.57
1603462613.75,33.57
1603462614.0,33.59
1603462614.25,33.59
1603462614.5,33.59
1603462614.75,33.59
1603462615.0,33.57
1603462615.25,33.57
1603462615.5,33.57
1603462615.75,33.57
1603462616.0,33.59
1603462616.25,33.59
1603462616.5,33.59
1603462616.75,33.59
1603462617.0,33.59
1603462617.25,33.59
1603462617.5,33.59
1603462617.75,33.59
1603462618.0,33.59
1603462618.25,33.59
1603462618.5,33.59
1603462618.75,33.59
1603462619.0,33.59
1603462619.25,33.59
1603462619.5,33.59
1603462619.75,33.59
1603462620.0,33.57
1603462620.25,33.57
1603462620.5,33.57
1603462620.75,33.57
1603462621.0,33.59
1603462621.25,33.59
1603462621.5,33.59
1603462621.75,33.59
1603462622.0,33.61
1603462622.25,33.61
1603462622.5,33.61
1603462622.75,33.61
1603462623.0,33.59
1603462623.25,33.59
1603462623.5,33.59
1603462623.75,33.59
1603462624.0,33.59
1603462624.25,33.59
1603462624.5,33.59
1603462624.75,33.59
1603462625.0,33.59
1603462625.25,33.59
1603462625.5,33.59
1603462625.75,33.59
