Time_stamp,Electrodermal_activity
70.75,1.2033610000000001
71.0,1.200799
71.25,1.198236
71.5,1.198236
71.75,1.196955
72.0,1.19183
72.25,1.186706
72.5,1.186706
72.75,1.186706
73.0,1.185424
73.25,1.182862
73.5,1.184143
73.75,1.186706
74.0,1.190549
74.25,1.1931120000000002
74.5,1.1931120000000002
74.75,1.198236
75.0,1.198236
75.25,1.199517
75.5,1.199517
75.75,1.196955
76.0,1.196955
76.25,1.196955
76.5,1.1931120000000002
76.75,1.19183
77.0,1.1879870000000001
77.25,1.186706
77.5,1.185424
77.75,1.184143
78.0,1.182862
78.25,1.173894
78.5,1.171332
78.75,1.175175
79.0,1.173894
79.25,1.172613
